first_seen,first_posted,entry_volatility_raw,entry_volatility_alexa,pre_media_raw,pre_media_alexa,total_seen_lifespan,total_posted_lifespan,rank_min,rank_first_quartile,rank_second_quartile,rank_third_quartile,rank_max,rank_median,rank_mode,rank_mean,rank_standard_deviation,rank_sum,rank_sample_variance,rank_elbow,rank_n,screen_name
2015-04-26 19:00:00 +0000,2015-04-26 19:00:00 +0000,,,true,true,5630400.0,5630400.0,1,45,45,45,45,45.0,45,41.877906976744185,10.020869101338509,50421.0,100.41781754616083,38,1204,occupytheport
2015-04-27 21:00:00 +0000,2015-04-27 21:00:00 +0000,,,true,true,5536800.0,5536800.0,1,10,10,10,10,10,10,9.718462823725982,1.395817230399964,11633.0,1.9483057406814261,10,1197,MrNikoG
2015-04-27 22:00:00 +0000,2015-04-27 22:00:00 +0000,,,true,true,5533200.0,5533200.0,1,20,20,20,20,20.0,20,19.86272878535774,0.9285409132651661,23875.0,0.8621882276073087,12,1202,RowanLucia
2015-04-27 22:00:00 +0000,2015-04-27 22:00:00 +0000,,,true,true,82800.0,82800.0,1,1,1,1,1,1.0,1,1.0,0.0,24.0,0.0,1,24,goodbyetheband
2015-04-27 23:00:00 +0000,2015-04-27 23:00:00 +0000,0.6459170212765958,0.27671916782770917,true,true,5529600.0,5529600.0,2,20,20,20,20,20,20,18.896752706078267,3.5212211822202764,22695.0,12.39899861411676,18,1201,Blklivesmatter
2015-04-27 23:00:00 +0000,2015-04-27 23:00:00 +0000,0.6459170212765958,0.27671916782770917,true,true,79200.0,79200.0,1,1,1,1,1,1,1,1.0,0.0,23.0,0.0,1,23,_simplyhoney
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,5526000.0,5526000.0,15,66,70,70,70,70.0,70,68.005,4.543857575526265,81606.0,20.646641666667424,37,1200,PenielJoseph
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,180000.0,180000.0,2,2,4,4,4,4,4,3.215686274509804,0.9764627135677442,164.0,0.9534794309880823,4,51,DuchessCadbury
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,5526000.0,5526000.0,2,21,21,21,21,21.0,21,20.35333333333333,2.3000338161764904,24424.0,5.29015555555539,8,1200,LulzSaintsHQ
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,5526000.0,5526000.0,2,14,14,14,14,14.0,14,13.759166666666667,1.4016059737156297,16511.0,1.9644993055553386,7,1200,SAM1RA_
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,5526000.0,5526000.0,2,15,15,15,15,15.0,15,14.728333333333333,1.5581604182140656,17674.0,2.4278638888890316,7,1200,SoulFya
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,5526000.0,5526000.0,2,95,98,110,110,98.0,110,97.19833333333334,15.79010229718452,116638.0,249.32733055555187,76,1200,ColorOfChange
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,5526000.0,5526000.0,1,53,54,54,54,54.0,54,51.79549248747913,8.264254931055307,62051.0,68.29790956547197,27,1198,ErinBurnett
2015-04-28 00:00:00 +0000,2015-04-28 00:00:00 +0000,0.04627872340425532,0.019826400925685408,true,true,151200.0,151200.0,1,3,3,3,3,3,3,2.627906976744186,0.7160374101553783,113.0,0.5127095727420214,3,43,RichieBrave
