statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,crimingwhilewhite,%m-%d-%Y,17305,-0.01812688821752266,2014-12-05 05:00:00 UTC,2014-12-05 05:00:00 UTC,1,114,0.7283817201160505,0.9988901220865705,83.03551609322976
indegree,crimingwhilewhite,%m-%d-%Y,21574,0.8599789793296742,2014-12-06 05:00:00 UTC,2014-12-06 05:00:00 UTC,2,196,0.7249144940995267,0.9988901220865705,142.08324084350724
indegree,crimingwhilewhite,%m-%d-%Y,22527,0.9721953837895867,2014-12-07 05:00:00 UTC,2014-12-07 05:00:00 UTC,3,204,0.7243612761419772,0.9988901220865705,147.76970033296334
indegree,crimingwhilewhite,%m-%d-%Y,23104,0.9787547328565419,2014-12-08 05:00:00 UTC,2014-12-08 05:00:00 UTC,4,206,0.721223990603752,0.9988901220865705,148.5721420643729
indegree,crimingwhilewhite,%m-%d-%Y,23587,0.9751623209316707,2014-12-09 05:00:00 UTC,2014-12-09 05:00:00 UTC,5,222,0.7205782363939968,0.9988901220865705,159.96836847946727
indegree,crimingwhilewhite,%m-%d-%Y,23819,0.9777777777777777,2014-12-10 05:00:00 UTC,2014-12-10 05:00:00 UTC,6,229,0.7167339540248827,0.9988901220865705,164.13207547169813
indegree,crimingwhilewhite,%m-%d-%Y,23956,0.9927272727272727,2014-12-11 05:00:00 UTC,2014-12-11 05:00:00 UTC,7,234,0.7163455609626531,0.9988901220865705,167.62486126526082
indegree,crimingwhilewhite,%m-%d-%Y,24157,0.9875296300113366,2014-12-12 05:00:00 UTC,2014-12-12 05:00:00 UTC,8,238,0.7142460757888061,0.9988901220865705,169.99056603773585
indegree,crimingwhilewhite,%m-%d-%Y,24243,0.9920643100072143,2014-12-13 05:00:00 UTC,2014-12-13 05:00:00 UTC,9,240,0.7141856270810211,0.9988901220865705,171.40455049944507
indegree,crimingwhilewhite,%m-%d-%Y,24323,0.9900030918272699,2014-12-14 05:00:00 UTC,2014-12-14 05:00:00 UTC,10,241,0.7128202412257474,0.9988901220865705,171.78967813540513
indegree,crimingwhilewhite,%m-%d-%Y,24378,0.9939393939393939,2014-12-15 05:00:00 UTC,2014-12-15 05:00:00 UTC,11,242,0.7125920694178187,0.9988901220865705,172.44728079911212
indegree,crimingwhilewhite,%m-%d-%Y,24432,0.9907070707070708,2014-12-16 05:00:00 UTC,2014-12-16 05:00:00 UTC,12,245,0.7073002786020068,0.9988901220865705,173.28856825749168
indegree,crimingwhilewhite,%m-%d-%Y,24595,0.992888797279192,2014-12-17 05:00:00 UTC,2014-12-17 05:00:00 UTC,13,246,0.7060831235393376,0.9988901220865705,173.69644839067703
indegree,crimingwhilewhite,%m-%d-%Y,24761,0.9924765536432031,2014-12-18 05:00:00 UTC,2014-12-18 05:00:00 UTC,14,251,0.7065743684529363,0.9988901220865705,177.350166481687
indegree,crimingwhilewhite,%m-%d-%Y,24787,0.9933010409151809,2014-12-19 05:00:00 UTC,2014-12-19 05:00:00 UTC,15,253,0.7031690743267253,0.9988901220865705,177.9017758046615
indegree,crimingwhilewhite,%m-%d-%Y,24809,0.9975757575757576,2014-12-20 05:00:00 UTC,2014-12-20 05:00:00 UTC,16,254,0.7008660543403218,0.9988901220865705,178.01997780244173
indegree,crimingwhilewhite,%m-%d-%Y,24824,0.9953622590951252,2014-12-21 05:00:00 UTC,2014-12-21 05:00:00 UTC,17,254,0.7008660543403218,0.9988901220865705,178.01997780244173
indegree,crimingwhilewhite,%m-%d-%Y,24840,0.992888797279192,2014-12-22 05:00:00 UTC,2014-12-22 05:00:00 UTC,18,255,0.7004113076973297,0.9988901220865705,178.6048834628191
indegree,crimingwhilewhite,%m-%d-%Y,24855,0.9935353535353535,2014-12-23 05:00:00 UTC,2014-12-23 05:00:00 UTC,19,255,0.7004113076973297,0.9988901220865705,178.6048834628191
indegree,crimingwhilewhite,%m-%d-%Y,24863,0.9939393939393939,2014-12-24 05:00:00 UTC,2014-12-24 05:00:00 UTC,20,255,0.7004113076973297,0.9988901220865705,178.6048834628191
indegree,crimingwhilewhite,%m-%d-%Y,25099,0.9870707070707071,2014-12-25 05:00:00 UTC,2014-12-25 05:00:00 UTC,21,255,0.7004113076973297,0.9988901220865705,178.6048834628191
indegree,crimingwhilewhite,%m-%d-%Y,25192,0.9945377718231475,2014-12-26 05:00:00 UTC,2014-12-26 05:00:00 UTC,22,256,0.7006993097946725,0.9988901220865705,179.37902330743617
indegree,crimingwhilewhite,%m-%d-%Y,25277,0.9838383838383838,2014-12-27 05:00:00 UTC,2014-12-27 05:00:00 UTC,23,257,0.6987545183259414,0.9988901220865705,179.57991120976692
indegree,crimingwhilewhite,%m-%d-%Y,25310,0.9955555555555555,2014-12-28 05:00:00 UTC,2014-12-28 05:00:00 UTC,24,258,0.6991714632320678,0.9988901220865705,180.38623751387348
indegree,crimingwhilewhite,%m-%d-%Y,25331,0.9927272727272727,2014-12-29 05:00:00 UTC,2014-12-29 05:00:00 UTC,25,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25344,0.9955555555555555,2014-12-30 05:00:00 UTC,2014-12-30 05:00:00 UTC,26,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25354,0.9947474747474747,2014-12-31 05:00:00 UTC,2014-12-31 05:00:00 UTC,27,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25357,0.9951515151515151,2015-01-01 05:00:00 UTC,2015-01-01 05:00:00 UTC,28,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25376,0.9951515151515151,2015-01-02 05:00:00 UTC,2015-01-02 05:00:00 UTC,29,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25395,0.9955555555555555,2015-01-03 05:00:00 UTC,2015-01-03 05:00:00 UTC,30,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25430,0.9943434343434343,2015-01-04 05:00:00 UTC,2015-01-04 05:00:00 UTC,31,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25442,0.9935353535353535,2015-01-05 05:00:00 UTC,2015-01-05 05:00:00 UTC,32,259,0.7003286781311199,0.9988901220865705,181.38512763596006
indegree,crimingwhilewhite,%m-%d-%Y,25452,0.9959595959595959,2015-01-06 05:00:00 UTC,2015-01-06 05:00:00 UTC,33,259,0.7003286781311199,0.9988901220865705,181.38512763596006
