statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,enoughisenough,%m-%d-%Y,15,0.7407785326716213,2013-07-11 04:00:00 UTC,2013-07-11 04:00:00 UTC,1,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,29,0.804057615039103,2013-07-12 04:00:00 UTC,2013-07-12 04:00:00 UTC,2,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,39,0.7837086575704609,2013-07-13 04:00:00 UTC,2013-07-13 04:00:00 UTC,3,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,45,0.8416352377356933,2013-07-14 04:00:00 UTC,2013-07-14 04:00:00 UTC,4,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,53,0.7552759424165973,2013-07-15 04:00:00 UTC,2013-07-15 04:00:00 UTC,5,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,68,0.741773892909586,2013-07-16 04:00:00 UTC,2013-07-16 04:00:00 UTC,6,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,83,0.7551892874219253,2013-07-17 04:00:00 UTC,2013-07-17 04:00:00 UTC,7,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,92,0.8114941366110394,2013-07-18 04:00:00 UTC,2013-07-18 04:00:00 UTC,8,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,98,0.8630963427153989,2013-07-19 04:00:00 UTC,2013-07-19 04:00:00 UTC,9,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,101,0.8124744620406399,2013-07-20 04:00:00 UTC,2013-07-20 04:00:00 UTC,10,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,106,0.760381861575179,2013-07-21 04:00:00 UTC,2013-07-21 04:00:00 UTC,11,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,119,0.6874920311105445,2013-07-22 04:00:00 UTC,2013-07-22 04:00:00 UTC,12,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,122,0.9417332772402187,2013-07-23 04:00:00 UTC,2013-07-23 04:00:00 UTC,13,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,127,0.8257648953301128,2013-07-24 04:00:00 UTC,2013-07-24 04:00:00 UTC,14,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,140,0.8157438292194796,2013-07-25 04:00:00 UTC,2013-07-25 04:00:00 UTC,15,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,144,0.9202776609171224,2013-07-26 04:00:00 UTC,2013-07-26 04:00:00 UTC,16,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,149,0.9343502009687725,2013-07-27 04:00:00 UTC,2013-07-27 04:00:00 UTC,17,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,158,0.8670151727655234,2013-07-28 04:00:00 UTC,2013-07-28 04:00:00 UTC,18,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y,166,0.8557748452645101,2013-07-29 04:00:00 UTC,2013-07-29 04:00:00 UTC,19,17,0.7265783116798329,0.9988901220865705,12.351831298557158
