statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,,,2013-07-09 09:00:00 UTC,2013-07-09 09:00:00 UTC,,,,,
indegree,enoughisenough,%m-%d-%Y %H,5,1.0,2013-07-09 14:00:00 UTC,2013-07-09 14:00:00 UTC,2,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,5,1.0,2013-07-09 16:00:00 UTC,2013-07-09 16:00:00 UTC,3,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,5,1.0,2013-07-09 17:00:00 UTC,2013-07-09 17:00:00 UTC,4,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,5,1.0,2013-07-09 18:00:00 UTC,2013-07-09 18:00:00 UTC,5,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,5,1.0,2013-07-09 19:00:00 UTC,2013-07-09 19:00:00 UTC,6,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,6,0.9258200997725514,2013-07-09 21:00:00 UTC,2013-07-09 21:00:00 UTC,7,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,6,1.0,2013-07-09 22:00:00 UTC,2013-07-09 22:00:00 UTC,8,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,7,0.9837387536759294,2013-07-09 23:00:00 UTC,2013-07-09 23:00:00 UTC,9,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,8,0.9883036912035246,2013-07-10 01:00:00 UTC,2013-07-10 01:00:00 UTC,10,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,8,1.0,2013-07-10 02:00:00 UTC,2013-07-10 02:00:00 UTC,11,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,8,1.0,2013-07-10 04:00:00 UTC,2013-07-10 04:00:00 UTC,12,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,8,1.0,2013-07-10 05:00:00 UTC,2013-07-10 05:00:00 UTC,13,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,9,0.9911892555667041,2013-07-10 07:00:00 UTC,2013-07-10 07:00:00 UTC,14,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,11,0.9863939238321437,2013-07-10 08:00:00 UTC,2013-07-10 08:00:00 UTC,15,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,11,1.0,2013-07-10 16:00:00 UTC,2013-07-10 16:00:00 UTC,16,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,11,1.0,2013-07-10 17:00:00 UTC,2013-07-10 17:00:00 UTC,17,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,12,0.995485304256668,2013-07-10 18:00:00 UTC,2013-07-10 18:00:00 UTC,18,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,13,0.9358557198935674,2013-07-10 21:00:00 UTC,2013-07-10 21:00:00 UTC,19,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,13,1.0,2013-07-10 22:00:00 UTC,2013-07-10 22:00:00 UTC,20,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,13,1.0,2013-07-11 00:00:00 UTC,2013-07-11 00:00:00 UTC,21,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,14,0.9968101992096627,2013-07-11 03:00:00 UTC,2013-07-11 03:00:00 UTC,22,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,15,0.9972640167606988,2013-07-11 04:00:00 UTC,2013-07-11 04:00:00 UTC,23,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,16,0.9976275174167506,2013-07-11 05:00:00 UTC,2013-07-11 05:00:00 UTC,24,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,16,1.0,2013-07-11 06:00:00 UTC,2013-07-11 06:00:00 UTC,25,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,19,0.979261542206206,2013-07-11 07:00:00 UTC,2013-07-11 07:00:00 UTC,26,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,19,1.0,2013-07-11 09:00:00 UTC,2013-07-11 09:00:00 UTC,27,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,20,0.996747958867483,2013-07-11 10:00:00 UTC,2013-07-11 10:00:00 UTC,28,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,22,0.9578947368421052,2013-07-11 15:00:00 UTC,2013-07-11 15:00:00 UTC,29,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,23,0.9986868017972349,2013-07-11 16:00:00 UTC,2013-07-11 16:00:00 UTC,30,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,23,1.0,2013-07-11 17:00:00 UTC,2013-07-11 17:00:00 UTC,31,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,23,1.0,2013-07-11 18:00:00 UTC,2013-07-11 18:00:00 UTC,32,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,24,0.9988116454506756,2013-07-11 21:00:00 UTC,2013-07-11 21:00:00 UTC,33,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,24,1.0,2013-07-11 22:00:00 UTC,2013-07-11 22:00:00 UTC,34,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,24,1.0,2013-07-12 00:00:00 UTC,2013-07-12 00:00:00 UTC,35,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,26,0.9978425001834779,2013-07-12 02:00:00 UTC,2013-07-12 02:00:00 UTC,36,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,28,0.9981933137908463,2013-07-12 03:00:00 UTC,2013-07-12 03:00:00 UTC,37,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,29,0.998465079678515,2013-07-12 04:00:00 UTC,2013-07-12 04:00:00 UTC,38,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,30,0.999339279742865,2013-07-12 05:00:00 UTC,2013-07-12 05:00:00 UTC,39,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,31,0.999384804617259,2013-07-12 06:00:00 UTC,2013-07-12 06:00:00 UTC,40,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,31,1.0,2013-07-12 08:00:00 UTC,2013-07-12 08:00:00 UTC,41,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,31,1.0,2013-07-12 09:00:00 UTC,2013-07-12 09:00:00 UTC,42,17,0.7265783116798329,0.9988901220865705,12.351831298557158
indegree,enoughisenough,%m-%d-%Y %H,32,0.9994257823241717,2013-07-12 11:00:00 UTC,2013-07-12 11:00:00 UTC,43,17,0.7265783116798329,0.9988901220865705,12.351831298557158
