statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,ericgarner,%m-%d-%Y %H,,1.0,2014-07-18 17:00:00 UTC,2014-07-18 17:00:00 UTC,1,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,,1.0,2014-07-18 21:00:00 UTC,2014-07-18 21:00:00 UTC,2,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,4,0.7071067811865475,2014-07-18 22:00:00 UTC,2014-07-18 22:00:00 UTC,3,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,9,0.816496580927726,2014-07-18 23:00:00 UTC,2014-07-18 23:00:00 UTC,4,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,18,0.644087327036082,2014-07-19 00:00:00 UTC,2014-07-19 00:00:00 UTC,5,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,67,0.7307773598735475,2014-07-19 01:00:00 UTC,2014-07-19 01:00:00 UTC,6,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,103,0.8531075023093732,2014-07-19 02:00:00 UTC,2014-07-19 02:00:00 UTC,7,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,131,0.915249022383259,2014-07-19 03:00:00 UTC,2014-07-19 03:00:00 UTC,8,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,148,0.9820803435989801,2014-07-19 04:00:00 UTC,2014-07-19 04:00:00 UTC,9,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,162,0.9977425600419889,2014-07-19 05:00:00 UTC,2014-07-19 05:00:00 UTC,10,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,176,0.9377991941673901,2014-07-19 06:00:00 UTC,2014-07-19 06:00:00 UTC,11,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,190,0.9892650150786789,2014-07-19 07:00:00 UTC,2014-07-19 07:00:00 UTC,12,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,212,0.9765683370084572,2014-07-19 08:00:00 UTC,2014-07-19 08:00:00 UTC,13,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,229,0.9701057460831797,2014-07-19 09:00:00 UTC,2014-07-19 09:00:00 UTC,14,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,243,0.9716028607488431,2014-07-19 10:00:00 UTC,2014-07-19 10:00:00 UTC,15,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,251,0.9693117053923718,2014-07-19 11:00:00 UTC,2014-07-19 11:00:00 UTC,16,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,255,0.9979602791196994,2014-07-19 12:00:00 UTC,2014-07-19 12:00:00 UTC,17,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,261,0.977223539111615,2014-07-19 13:00:00 UTC,2014-07-19 13:00:00 UTC,18,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,264,0.9919191919191919,2014-07-19 14:00:00 UTC,2014-07-19 14:00:00 UTC,19,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,267,0.9859066049642407,2014-07-19 15:00:00 UTC,2014-07-19 15:00:00 UTC,20,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,270,0.9982479645470473,2014-07-19 16:00:00 UTC,2014-07-19 16:00:00 UTC,21,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,279,0.9906602254428342,2014-07-19 17:00:00 UTC,2014-07-19 17:00:00 UTC,22,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,292,0.9785202863961814,2014-07-19 18:00:00 UTC,2014-07-19 18:00:00 UTC,23,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,318,0.968148945991691,2014-07-19 19:00:00 UTC,2014-07-19 19:00:00 UTC,24,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,344,0.9603735823882589,2014-07-19 20:00:00 UTC,2014-07-19 20:00:00 UTC,25,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,361,0.9692227438706312,2014-07-19 21:00:00 UTC,2014-07-19 21:00:00 UTC,26,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,381,0.9546165884194053,2014-07-19 22:00:00 UTC,2014-07-19 22:00:00 UTC,27,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,393,0.985286783042394,2014-07-19 23:00:00 UTC,2014-07-19 23:00:00 UTC,28,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,413,0.9520083463745436,2014-07-20 00:00:00 UTC,2014-07-20 00:00:00 UTC,29,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,429,0.9644659151905529,2014-07-20 01:00:00 UTC,2014-07-20 01:00:00 UTC,30,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,453,0.9438292194796531,2014-07-20 02:00:00 UTC,2014-07-20 02:00:00 UTC,31,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,468,0.9909473415784776,2014-07-20 03:00:00 UTC,2014-07-20 03:00:00 UTC,32,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,491,0.9769090077732053,2014-07-20 04:00:00 UTC,2014-07-20 04:00:00 UTC,33,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,533,0.9648379052369077,2014-07-20 05:00:00 UTC,2014-07-20 05:00:00 UTC,34,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,549,0.9832917705735661,2014-07-20 06:00:00 UTC,2014-07-20 06:00:00 UTC,35,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,581,0.9093078758949881,2014-07-20 07:00:00 UTC,2014-07-20 07:00:00 UTC,36,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,598,0.9551203133743704,2014-07-20 08:00:00 UTC,2014-07-20 08:00:00 UTC,37,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,611,0.9693117053923718,2014-07-20 09:00:00 UTC,2014-07-20 09:00:00 UTC,38,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,626,0.9754493643138974,2014-07-20 10:00:00 UTC,2014-07-20 10:00:00 UTC,39,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,696,0.9786366076221149,2014-07-20 11:00:00 UTC,2014-07-20 11:00:00 UTC,40,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,726,0.9838383838383838,2014-07-20 12:00:00 UTC,2014-07-20 12:00:00 UTC,41,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,741,0.9955555555555555,2014-07-20 13:00:00 UTC,2014-07-20 13:00:00 UTC,42,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,756,0.9975757575757576,2014-07-20 14:00:00 UTC,2014-07-20 14:00:00 UTC,43,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,770,0.9927272727272727,2014-07-20 15:00:00 UTC,2014-07-20 15:00:00 UTC,44,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,783,0.9939393939393939,2014-07-20 16:00:00 UTC,2014-07-20 16:00:00 UTC,45,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,793,0.9974234772750695,2014-07-20 17:00:00 UTC,2014-07-20 17:00:00 UTC,46,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,807,0.9871173863753478,2014-07-20 18:00:00 UTC,2014-07-20 18:00:00 UTC,47,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,818,0.998389694041868,2014-07-20 19:00:00 UTC,2014-07-20 19:00:00 UTC,48,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,831,0.9938998737904923,2014-07-20 20:00:00 UTC,2014-07-20 20:00:00 UTC,49,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,841,0.9970112336390807,2014-07-20 21:00:00 UTC,2014-07-20 21:00:00 UTC,50,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,850,0.998948254101809,2014-07-20 22:00:00 UTC,2014-07-20 22:00:00 UTC,51,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,867,0.9949500154591363,2014-07-20 23:00:00 UTC,2014-07-20 23:00:00 UTC,52,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,882,0.9594026083298275,2014-07-21 00:00:00 UTC,2014-07-21 00:00:00 UTC,53,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,897,0.9804375262936474,2014-07-21 01:00:00 UTC,2014-07-21 01:00:00 UTC,54,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,911,0.9932367149758454,2014-07-21 02:00:00 UTC,2014-07-21 02:00:00 UTC,55,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,921,0.9953622590951252,2014-07-21 03:00:00 UTC,2014-07-21 03:00:00 UTC,56,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,934,0.9938623410784744,2014-07-21 04:00:00 UTC,2014-07-21 04:00:00 UTC,57,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,948,0.9780480263835927,2014-07-21 05:00:00 UTC,2014-07-21 05:00:00 UTC,58,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,952,0.999484695455014,2014-07-21 06:00:00 UTC,2014-07-21 06:00:00 UTC,59,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,957,1.0,2014-07-21 07:00:00 UTC,2014-07-21 07:00:00 UTC,60,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,968,0.9689786663918376,2014-07-21 08:00:00 UTC,2014-07-21 08:00:00 UTC,61,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,979,0.9776357827476039,2014-07-21 09:00:00 UTC,2014-07-21 09:00:00 UTC,62,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,986,0.9986602081830361,2014-07-21 10:00:00 UTC,2014-07-21 10:00:00 UTC,63,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
indegree,ericgarner,%m-%d-%Y %H,991,0.9998969390910027,2014-07-21 11:00:00 UTC,2014-07-21 11:00:00 UTC,64,4,0.7327968923418424,0.9988901220865705,2.9311875693673697
