first_seen,first_posted,entry_volatility_raw,entry_volatility_alexa,pre_media_raw,pre_media_alexa,total_seen_lifespan,total_posted_lifespan,rank_min,rank_first_quartile,rank_second_quartile,rank_third_quartile,rank_max,rank_median,rank_mode,rank_mean,rank_standard_deviation,rank_sum,rank_sample_variance,rank_elbow,rank_n,screen_name
2013-11-30 17:00:00 +0000,2013-11-30 17:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48574800.0,48574800.0,1,1,1,1,1,1.0,1,1.0,0.0,308.0,0.0,1,308,Karnythia
2013-11-30 18:00:00 +0000,2013-11-30 18:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48571200.0,48571200.0,2,13,13,14,16,13,13,13.068403908794789,1.1911228626767354,4012.0,1.418773673991221,12,307,LexiScorsese
2013-11-30 19:00:00 +0000,2013-11-30 19:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48567600.0,48567600.0,2,4,5,5,5,5.0,5,4.42483660130719,0.8759145394902466,1354.0,0.7672262804904106,2,306,HoodFeminism
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,2,4,6,6,6,6,6,5.4032786885245905,0.9186531861540955,1648.0,0.8439236764310714,2,305,thetrudz
2013-11-30 19:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48567600.0,48564000.0,2,2,2,5,7,2,2,2.8360655737704916,1.3129909276259122,865.0,1.7239451760279534,2,305,thewayoftheid
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,4,8,9,9,9,9,9,8.60655737704918,0.6598233376228884,2625.0,0.43536683687180816,6,305,Lushology_
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,6,13,14,14,15,14,14,13.747540983606557,1.0551367804078926,4193.0,1.1133136253695333,12,305,dopegirlfresh
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,7,10,10,10,12,10,10,9.849180327868853,0.5342753483080893,3004.0,0.2854501478097301,7,305,deluxvivens
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,2,2,3,3,9,3,3,2.7147540983606557,0.5844532447254345,828.0,0.3415855952700886,9,305,FeministaJones
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,9,15,19,19,19,19,19,17.160655737704918,2.3933842346347607,5234.0,5.728288094598218,9,305,AquafarE
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,11,46,46,48,49,46,46,45.84590163934426,3.4941437549833467,13983.0,12.209040580489123,34,305,dcIfy
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,12,48,50,53,56,50,50,49.885245901639344,4.916010513186652,15215.0,24.167159365761695,38,305,umokmhmm
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,13,81,91,96,100,91,96,87.21967213114755,11.33748779054242,26602.0,128.53862940069845,65,305,misslisha3
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,9,11,12,12,18,12,12,11.61311475409836,0.9203483677277019,3542.0,0.8470411179790451,9,305,ReignOfApril
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,15,49,51,54,65,51,51,51.15409836065574,4.444837630790995,15602.0,19.756581564095708,40,305,iGoBiTima
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,5,7,7,7,16,7,7,6.921311475409836,0.6170035348354672,2111.0,0.3806933619994616,5,305,bad_dominicana
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,17,23,23,25,28,23,23,23.845901639344262,1.2697713451695591,7273.0,1.6123192690137116,17,305,marcussimmonscc
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,18,63,70,75,78,70,75,67.90163934426229,8.054944348665067,20710.0,64.88212846009131,54,305,Rhyme_Slow
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,12,19,20,20,20,20,20,19.124590163934425,1.5141578558268813,5833.0,2.2926740123622587,12,305,ProfBanks
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,20,32,37,37,39,37,37,34.91803278688525,3.6739895765721995,10650.0,13.49819940876117,25,305,ConsolataSosa
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,21,110,120,126,133,120,120,116.1704918032787,13.50447824038436,35432.0,182.37093254501465,92,305,LoveMySkip
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,17,27,32,32,33,32,32,29.763934426229508,3.510641097254574,9078.0,12.324600913732798,17,305,Vivaciously_Val
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,23,43,47,48,50,47,47,45.15409836065574,4.186534768442086,13772.0,17.527073367374427,28,305,nealcarter
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,24,50,53,55,58,53,52,52.33114754098361,4.418127375124196,15961.0,19.519849502821813,41,305,SassyE
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,25,184,206,215,224,206,215,197.54754098360655,24.083295391288488,60252.0,580.0051169040573,155,305,bluesaviour2091
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,26,116,125,133,140,125,119,122.67868852459016,13.321560421006408,37417.0,177.46397205052443,99,305,Social_Werkk
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,27,106,117,122,129,117,117,112.42295081967212,13.313919665764615,34289.0,177.26045686643374,88,305,LoneStarGumbo
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,28,349,387,420,434,387,425,377.31475409836065,51.86058813770537,115081.0,2689.5206019887073,276,305,1YANGAwakening
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,29,170,190,201,210,190,201,183.04918032786884,23.803172559940453,55830.0,566.5910239183021,141,305,VictorianPrude
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,30,177,198,209,218,198,209,190.70819672131148,24.29889220359557,58166.0,590.4361623219576,148,305,elledub_1920
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,31,176,197,208,217,197,208,189.71475409836066,24.255753659601464,57863.0,588.3415855952699,147,305,ThatsMsSydney2U
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,32,355,393,426,440,393,431,383.4,51.841220386363865,116937.0,2687.512131147548,282,305,NotRichButPAID_
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,33,172,192,203,212,192,203,185.05573770491804,23.760971751049077,56442.0,564.5837785541522,143,305,ShakiraEvanz
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,18,36,36,38,41,36,36,36.554098360655736,2.534585281205239,11149.0,6.424122547702241,29,305,badgalvivii
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,35,173,193,204,213,193,204,186.05901639344262,23.740049698521208,56748.0,563.5899596882568,144,305,EnnAyTee
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,36,174,194,205,214,194,205,187.05901639344262,23.740049698521208,57053.0,563.5899596882568,145,305,AwkwardlyH
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,37,175,195,206,215,195,206,188.05901639344262,23.740049698521208,57358.0,563.5899596882568,146,305,harmonybabydoll
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,38,363,400,435,450,400,440,391.41639344262296,52.422311544307945,119382.0,2748.098747648482,290,305,claireOT
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,39,364,401,436,451,401,441,392.41639344262296,52.422311544307945,119687.0,2748.098747648482,291,305,JuneMo41
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,40,181,202,211,220,202,211,193.9704918032787,23.399785232742126,59161.0,547.5499489384565,152,305,TheCosby
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,35,60,67,72,75,67,72,65.14426229508197,7.279806441990103,19869.0,52.9955818328406,51,305,aBuggslyfe
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,42,78,88,93,97,88,93,84.39344262295081,10.417952173657225,25740.0,108.53372749260932,64,305,ShantaFabulous
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,27,33,38,38,43,38,38,36.118032786885244,3.3670295415026037,11016.0,11.336887933351234,27,305,lenubienne
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,44,113,122,130,136,122,116,119.19672131147541,13.484198003870265,36355.0,181.82359580757884,94,305,MissFyeRed_
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,45,117,129,134,174,129,117,129.9639344262295,16.838344539038644,39639.0,283.5298468153725,110,305,tajhntee
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,46,79,90,94,207,90,94,87.25901639344262,12.206762128241419,26614.0,149.00504165546897,98,305,_MissBre
2013-11-30 20:00:00 +0000,2013-11-30 20:00:00 +0000,1.0638297872340427e-06,2.615297423666376e-07,true,true,48564000.0,48564000.0,47,368,405,440,456,405,445,396.472131147541,52.56696005002413,120924.0,2763.2852889008327,295,305,Colormecosmoyo
