statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,fasttailedgirls,%m-%d-%Y %H,7,0.8164965809277261,2013-11-30 23:00:00 UTC,2013-11-30 23:00:00 UTC,1,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,8,0.9258200997725514,2013-12-01 00:00:00 UTC,2013-12-01 00:00:00 UTC,2,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,101,0.15972122010071818,2013-12-01 01:00:00 UTC,2013-12-01 01:00:00 UTC,3,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,325,0.5577746024618504,2013-12-01 02:00:00 UTC,2013-12-01 02:00:00 UTC,4,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,442,0.8192877033562949,2013-12-01 03:00:00 UTC,2013-12-01 03:00:00 UTC,5,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,535,0.9102938913679027,2013-12-01 04:00:00 UTC,2013-12-01 04:00:00 UTC,6,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,598,0.9503740648379052,2013-12-01 05:00:00 UTC,2013-12-01 05:00:00 UTC,7,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,621,0.9610305958132045,2013-12-01 06:00:00 UTC,2013-12-01 06:00:00 UTC,8,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,658,0.9725797425853385,2013-12-01 07:00:00 UTC,2013-12-01 07:00:00 UTC,9,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,668,0.9953622590951252,2013-12-01 08:00:00 UTC,2013-12-01 08:00:00 UTC,10,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
indegree,fasttailedgirls,%m-%d-%Y %H,672,0.9955555555555555,2013-12-01 09:00:00 UTC,2013-12-01 09:00:00 UTC,11,1,0.2458379578246393,0.2458379578246393,0.2458379578246393
