first_seen,first_posted,entry_volatility_raw,entry_volatility_alexa,pre_media_raw,pre_media_alexa,total_seen_lifespan,total_posted_lifespan,rank_min,rank_first_quartile,rank_second_quartile,rank_third_quartile,rank_max,rank_median,rank_mode,rank_mean,rank_standard_deviation,rank_sum,rank_sample_variance,rank_elbow,rank_n,screen_name
2014-08-14 05:00:00 +0000,2014-08-14 05:00:00 +0000,,,true,true,27248400.0,27248400.0,1,2,3,3,3,3.0,3,2.4889380530973453,0.6256760772833676,1125.0,0.39147055368470257,3,452,ryanjreilly
2014-08-14 05:00:00 +0000,2014-08-14 05:00:00 +0000,,,true,true,17708400.0,17708400.0,1,1,1,1,1,1.0,1,1.0,0.0,80.0,0.0,1,80,HuffingtonPost
2014-08-14 05:00:00 +0000,2014-08-14 05:00:00 +0000,,,true,true,17708400.0,17708400.0,1,1,1,1,1,1.0,1,1.0,0.0,80.0,0.0,1,80,Answerperiod
2014-08-14 05:00:00 +0000,2014-08-14 05:00:00 +0000,,,true,true,17704800.0,17704800.0,1,1,1,1,1,1,1,1.0,0.0,79.0,0.0,1,79,amiableCDN
2015-03-03 23:00:00 +0000,2015-03-03 23:00:00 +0000,3.1914893617021277e-06,0.0,true,true,9817200.0,9817200.0,1,2,2,2,2,2.0,2,1.9977777777777779,0.047088044667593885,899.0,0.0022172839506173166,2,450,RashadDrakeford
2015-03-04 19:00:00 +0000,2015-03-04 19:00:00 +0000,4.255319148936171e-06,0.0,true,true,9745200.0,9745200.0,2,167,167,168,168,167.0,168,161.04298642533936,24.97764535643535,71181.0,623.8827675518563,122,442,JuanMThompson
2015-03-04 21:00:00 +0000,2015-03-04 21:00:00 +0000,4.255319148936171e-06,0.0,true,true,9738000.0,9738000.0,3,69,69,69,69,69.0,69,66.77045454545454,9.196814654726172,29379.0,84.58139979338608,57,440,CNNSitRoom
2015-03-04 20:00:00 +0000,2015-03-04 20:00:00 +0000,4.255319148936171e-06,0.0,true,true,9741600.0,9741600.0,1,106,109,110,112,109,110,100.51927437641723,21.087448103093994,44329.0,444.68046750068254,99,441,CNN
2015-03-04 21:00:00 +0000,2015-03-04 21:00:00 +0000,4.255319148936171e-06,0.0,true,true,9738000.0,9738000.0,4,110,112,112,112,112.0,112,103.89090909090909,21.24439838663159,45712.0,451.32446280991496,49,440,JRehling
2015-03-04 21:00:00 +0000,2015-03-04 21:00:00 +0000,4.255319148936171e-06,0.0,true,true,9738000.0,9738000.0,5,37,37,37,37,37.0,37,36.220454545454544,3.8980227823308327,15937.0,15.194581611570205,29,440,cmanduley
2015-03-04 23:00:00 +0000,2015-03-04 23:00:00 +0000,4.255319148936171e-06,0.0,true,true,9730800.0,9730800.0,13,58,58,58,58,58.0,58,55.82876712328767,7.863004749171628,24453.0,61.82684368549558,37,438,michellemalkin
2015-03-04 20:00:00 +0000,2015-03-04 20:00:00 +0000,4.255319148936171e-06,0.0,true,true,9741600.0,9741600.0,2,48,48,48,48,48,48,46.585034013605444,6.566088448677021,20544.0,43.11351751584981,26,441,EliottCNN
2015-03-04 20:00:00 +0000,2015-03-04 20:00:00 +0000,4.255319148936171e-06,0.0,true,true,9741600.0,9741600.0,6,25,25,25,25,25,25,24.571428571428573,2.3656652092141752,10836.0,5.5963718820863475,18,441,ThaddeusRussell
2015-03-04 22:00:00 +0000,2015-03-04 22:00:00 +0000,4.255319148936171e-06,0.0,true,true,9734400.0,9734400.0,6,27,27,27,27,27,27,26.34851936218679,2.948949288804288,11567.0,8.696301907939315,20,439,JDiamond1
2015-03-04 21:00:00 +0000,2015-03-04 21:00:00 +0000,4.255319148936171e-06,0.0,true,true,9738000.0,9738000.0,3,29,29,29,29,29.0,29,28.036363636363635,3.6962567618587787,12336.0,13.662314049586744,18,440,ChristiChat
2015-03-04 21:00:00 +0000,2015-03-04 21:00:00 +0000,4.255319148936171e-06,0.0,true,true,9738000.0,9738000.0,7,18,18,18,18,18.0,18,17.740909090909092,1.5124210245073784,7806.0,2.287417355371948,7,440,newsone
2015-03-04 21:00:00 +0000,2015-03-04 21:00:00 +0000,4.255319148936171e-06,0.0,true,true,9738000.0,9738000.0,4,18,18,18,18,18.0,18,17.679545454545455,1.7371710997343177,7779.0,3.0177634297521387,15,440,NicholsUprising
2015-03-04 21:00:00 +0000,2015-03-04 21:00:00 +0000,4.255319148936171e-06,0.0,true,true,9738000.0,9738000.0,4,27,39,39,40,39.0,39,34.836363636363636,7.4532205030958405,15328.0,55.55049586776821,36,440,blackrepublican
