statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,fergusonreport,%m-%d-%Y,,1.0,2014-08-20 04:00:00 UTC,2014-08-20 04:00:00 UTC,1,0,0.0,,0.0
indegree,fergusonreport,%m-%d-%Y,4,0.9759000729485332,2015-03-03 05:00:00 UTC,2015-03-03 05:00:00 UTC,2,1,0.0,,0.0
indegree,fergusonreport,%m-%d-%Y,4,1.0,2015-03-04 05:00:00 UTC,2015-03-04 05:00:00 UTC,3,1,0.0,,0.0
indegree,fergusonreport,%m-%d-%Y,616,0.0,2015-03-05 05:00:00 UTC,2015-03-05 05:00:00 UTC,4,3,0.510913799482057,0.8751387347391787,1.5327413984461709
indegree,fergusonreport,%m-%d-%Y,2282,0.5702026221692491,2015-03-06 05:00:00 UTC,2015-03-06 05:00:00 UTC,5,4,0.5219200887902331,0.8751387347391787,2.0876803551609324
indegree,fergusonreport,%m-%d-%Y,2673,0.8493369913123,2015-03-07 05:00:00 UTC,2015-03-07 05:00:00 UTC,6,5,0.5635960044395116,0.8751387347391787,2.817980022197558
indegree,fergusonreport,%m-%d-%Y,2900,0.9096155828094403,2015-03-08 05:00:00 UTC,2015-03-08 05:00:00 UTC,7,15,0.8376988531261563,0.9855715871254163,12.565482796892345
indegree,fergusonreport,%m-%d-%Y,2958,0.975630703166935,2015-03-09 04:00:00 UTC,2015-03-09 04:00:00 UTC,8,16,0.787943951165372,0.9855715871254163,12.607103218645952
indegree,fergusonreport,%m-%d-%Y,3020,0.9759868082036484,2015-03-10 04:00:00 UTC,2015-03-10 04:00:00 UTC,9,17,0.7974472807991123,0.9855715871254163,13.556603773584909
indegree,fergusonreport,%m-%d-%Y,3059,0.9826262626262626,2015-03-11 04:00:00 UTC,2015-03-11 04:00:00 UTC,10,17,0.7974472807991123,0.9855715871254163,13.556603773584909
indegree,fergusonreport,%m-%d-%Y,3118,0.977913336137989,2015-03-12 04:00:00 UTC,2015-03-12 04:00:00 UTC,11,17,0.7974472807991123,0.9855715871254163,13.556603773584909
indegree,fergusonreport,%m-%d-%Y,3220,0.9770719394194363,2015-03-13 04:00:00 UTC,2015-03-13 04:00:00 UTC,12,21,0.745917234818456,0.9855715871254163,15.664261931187575
indegree,fergusonreport,%m-%d-%Y,3260,0.9935353535353535,2015-03-14 04:00:00 UTC,2015-03-14 04:00:00 UTC,13,21,0.745917234818456,0.9855715871254163,15.664261931187575
indegree,fergusonreport,%m-%d-%Y,3284,0.9939393939393939,2015-03-15 04:00:00 UTC,2015-03-15 04:00:00 UTC,14,21,0.745917234818456,0.9855715871254163,15.664261931187575
indegree,fergusonreport,%m-%d-%Y,3309,0.9960033655868742,2015-03-16 04:00:00 UTC,2015-03-16 04:00:00 UTC,15,21,0.745917234818456,0.9855715871254163,15.664261931187575
indegree,fergusonreport,%m-%d-%Y,3332,0.9912398227352365,2015-03-17 04:00:00 UTC,2015-03-17 04:00:00 UTC,16,21,0.745917234818456,0.9855715871254163,15.664261931187575
indegree,fergusonreport,%m-%d-%Y,3340,1.0,2015-03-18 04:00:00 UTC,2015-03-18 04:00:00 UTC,17,21,0.745917234818456,0.9855715871254163,15.664261931187575
indegree,fergusonreport,%m-%d-%Y,3342,1.0,2015-03-19 04:00:00 UTC,2015-03-19 04:00:00 UTC,18,21,0.745917234818456,0.9855715871254163,15.664261931187575
indegree,fergusonreport,%m-%d-%Y,3346,0.9995959595959596,2015-03-20 04:00:00 UTC,2015-03-20 04:00:00 UTC,19,21,0.745917234818456,0.9855715871254163,15.664261931187575
