first_seen,first_posted,entry_volatility_raw,entry_volatility_alexa,pre_media_raw,pre_media_alexa,total_seen_lifespan,total_posted_lifespan,rank_min,rank_first_quartile,rank_second_quartile,rank_third_quartile,rank_max,rank_median,rank_mode,rank_mean,rank_standard_deviation,rank_sum,rank_sample_variance,rank_elbow,rank_n,screen_name
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,62208000.0,62208000.0,1,60,109,124,168,109,109,94.67454798331015,44.60981892682845,68071.0,1990.0359446844218,70,719,JohnnyGolightly
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,62208000.0,62208000.0,2,49,89,103,137,89,92,79.39499304589708,31.755231780684813,57085.0,1008.3947454450147,22,719,PoodleAssassin
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,62208000.0,62208000.0,3,53,70,124,348,70,51,100.17802503477051,72.03442629286992,72028.0,5188.95857134291,49,719,TransLawCenter
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,57801600.0,57801600.0,4,372,674,825,1000,675.0,855,610.4865269461078,254.2829618137565,407805.0,64659.82466877634,327,668,TransgenderTrio
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,17452800.0,17452800.0,5,337,605,852,996,605,991,574.8669950738916,290.2211948076862,116698.0,84228.34191560093,778,203,BrooklynPride
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,62208000.0,62208000.0,6,133,146,565,997,146.0,133,346.6431924882629,296.7571831313318,147670.0,88064.82574004278,779,426,AudreLorde
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,62208000.0,62208000.0,7,278,334,396,753,334,340,344.7093184979138,111.49750832996882,247846.0,12431.694363791468,484,719,LGBTCenterNYC
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,9590400.0,9590400.0,8,285,516,697,992,517.5,385,504.24107142857144,267.0756061203761,56475.0,71329.37938456629,221,112,mrtruthandsoul
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,9590400.0,9590400.0,9,286,517,698,993,518.5,386,505.24107142857144,267.0756061203761,56587.0,71329.37938456629,222,112,KathleenSweets
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,62208000.0,62208000.0,10,209,340,411,518,340,373,314.79694019471486,118.22450033815514,226339.0,13977.032480206446,150,719,ToddKincannon
2013-07-10 00:00:00 +0000,2013-07-10 00:00:00 +0000,0.00031063829787234047,0.0003044607646350391,true,true,62208000.0,62208000.0,11,35,52,56,242,52,54,49.471488178025034,25.76304685901641,35570.0,663.7345834598752,94,719,SenTedCruz
2013-07-11 00:00:00 +0000,2013-07-11 00:00:00 +0000,0.00030319148936170217,0.0002970222211726923,true,true,62121600.0,62121600.0,2,62,65,80,185,65.0,62,79.22701949860725,34.45193648154354,56885.0,1186.935927328311,24,718,reinagossett
2013-07-11 00:00:00 +0000,2013-07-11 00:00:00 +0000,0.00030319148936170217,0.0002970222211726923,true,true,62121600.0,62121600.0,3,53,88,95,130,88.0,89,78.06267409470752,30.73034348451894,56049.0,944.3540106765157,71,718,SRLP
