index,pre_avg,post_avg,pre_min,pre_max,post_min,post_max,log_pre_avg,log_post_avg,log_pre_min,log_pre_max,log_post_min,log_post_max,pre_n,post_n,time
0,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-14 00:00:00 UTC
1,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-15 00:00:00 UTC
2,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-16 00:00:00 UTC
3,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-17 00:00:00 UTC
4,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-18 00:00:00 UTC
5,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-19 00:00:00 UTC
6,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-20 00:00:00 UTC
7,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-21 00:00:00 UTC
8,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-22 00:00:00 UTC
9,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-23 00:00:00 UTC
10,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-24 00:00:00 UTC
11,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-25 00:00:00 UTC
12,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-26 00:00:00 UTC
13,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-27 00:00:00 UTC
14,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-28 00:00:00 UTC
15,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-29 00:00:00 UTC
16,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-30 00:00:00 UTC
17,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-08-31 00:00:00 UTC
18,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-01 00:00:00 UTC
19,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-02 00:00:00 UTC
20,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-03 00:00:00 UTC
21,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-04 00:00:00 UTC
22,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-05 00:00:00 UTC
23,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-06 00:00:00 UTC
24,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-07 00:00:00 UTC
25,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-08 00:00:00 UTC
26,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-09 00:00:00 UTC
27,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-10 00:00:00 UTC
28,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-11 00:00:00 UTC
29,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-12 00:00:00 UTC
30,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-13 00:00:00 UTC
31,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-14 00:00:00 UTC
32,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-15 00:00:00 UTC
33,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-16 00:00:00 UTC
34,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-17 00:00:00 UTC
35,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-18 00:00:00 UTC
36,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-19 00:00:00 UTC
37,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-20 00:00:00 UTC
38,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-21 00:00:00 UTC
39,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-22 00:00:00 UTC
40,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-23 00:00:00 UTC
41,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-24 00:00:00 UTC
42,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-25 00:00:00 UTC
43,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-26 00:00:00 UTC
44,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-27 00:00:00 UTC
45,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-28 00:00:00 UTC
46,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-29 00:00:00 UTC
47,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-09-30 00:00:00 UTC
48,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-01 00:00:00 UTC
49,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-02 00:00:00 UTC
50,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-03 00:00:00 UTC
51,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-04 00:00:00 UTC
52,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-05 00:00:00 UTC
53,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-06 00:00:00 UTC
54,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-07 00:00:00 UTC
55,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-08 00:00:00 UTC
56,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-09 00:00:00 UTC
57,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-10 00:00:00 UTC
58,NaN,0.0,,,0.0,0.0,NaN,0.0,,,0.0,0.0,0,100,2014-10-11 00:00:00 UTC
