index,pre_avg,post_avg,pre_min,pre_max,post_min,post_max,log_pre_avg,log_post_avg,log_pre_min,log_pre_max,log_post_min,log_post_max,pre_n,post_n,time
0,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-17 00:00:00 UTC
1,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-18 00:00:00 UTC
2,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-19 00:00:00 UTC
3,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-20 00:00:00 UTC
4,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-21 00:00:00 UTC
5,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-22 00:00:00 UTC
6,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-23 00:00:00 UTC
7,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-24 00:00:00 UTC
8,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-25 00:00:00 UTC
9,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-26 00:00:00 UTC
10,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-27 00:00:00 UTC
11,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-28 00:00:00 UTC
12,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-29 00:00:00 UTC
13,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-30 00:00:00 UTC
14,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-08-31 00:00:00 UTC
15,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-01 00:00:00 UTC
16,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-02 00:00:00 UTC
17,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-03 00:00:00 UTC
18,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-04 00:00:00 UTC
19,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-05 00:00:00 UTC
20,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-06 00:00:00 UTC
21,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-07 00:00:00 UTC
22,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-08 00:00:00 UTC
23,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-09 00:00:00 UTC
24,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-10 00:00:00 UTC
25,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-11 00:00:00 UTC
26,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-12 00:00:00 UTC
27,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-13 00:00:00 UTC
28,0.0,NaN,0.0,0.0,,,0.0,NaN,0.0,0.0,,,3,0,2013-09-14 00:00:00 UTC
