first_seen,first_posted,entry_volatility_raw,entry_volatility_alexa,pre_media_raw,pre_media_alexa,total_seen_lifespan,total_posted_lifespan,rank_min,rank_first_quartile,rank_second_quartile,rank_third_quartile,rank_max,rank_median,rank_mode,rank_mean,rank_standard_deviation,rank_sum,rank_sample_variance,rank_elbow,rank_n,screen_name
2013-07-19 19:00:00 +0000,2013-07-19 19:00:00 +0000,0.00012021276595744681,3.5690249604458405e-05,true,true,33634800.0,33634800.0,1,14,43,203,984,43,12,170.497461928934,253.3787042354895,33588.0,64200.76776005566,178,197,ZoeBP
2013-07-21 14:00:00 +0000,2013-07-21 14:00:00 +0000,8.829787234042553e-05,2.6214962098849976e-05,true,true,33480000.0,33480000.0,1,13,41,201,982,41.0,11,169.64285714285714,253.5556836158037,33250.0,64290.48469387755,176,196,StannersBeal
2013-07-25 09:00:00 +0000,2013-07-25 09:00:00 +0000,4.2553191489361704e-05,1.5520579970245827e-05,true,true,33368400.0,33368400.0,1,5,21,337,988,21,5,195.3675889328063,282.1170307311739,49428.0,79590.0190285741,475,253,jab1ufc
2013-07-25 21:00:00 +0000,2013-07-25 21:00:00 +0000,2.0212765957446807e-05,6.001015420218669e-06,true,true,33109200.0,33109200.0,1,11,39,209,980,39.5,9,171.15104166666666,255.00353980173477,32861.0,65026.80531141494,174,192,DaveSlates
2013-07-29 06:00:00 +0000,2013-07-29 06:00:00 +0000,0.00020425531914893618,8.427515526483577e-05,true,true,32817600.0,32817600.0,1,11,39,227,979,39,8,171.04188481675394,255.37205856948827,32669.0,65214.88829801815,173,191,carras16
2013-08-08 11:00:00 +0000,2013-08-08 11:00:00 +0000,3.51063829787234e-05,1.1307766783951636e-05,true,true,31935600.0,31935600.0,1,10,38,226,978,38,7,171.84126984126985,256.11673964921977,32478.0,65595.78432854623,172,189,Thomkirwin
2013-08-14 09:00:00 +0000,2013-08-14 09:00:00 +0000,8.510638297872341e-06,3.968403901102794e-06,true,true,31424400.0,31424400.0,1,8,36,244,976,36.0,5,172.59677419354838,257.2458632964631,32103.0,66175.43418314258,170,186,wallaceme
2013-08-14 09:00:00 +0000,2013-08-14 09:00:00 +0000,8.510638297872341e-06,3.968403901102794e-06,true,true,31424400.0,31424400.0,2,9,37,245,977,37.0,6,173.59677419354838,257.2458632964631,32289.0,66175.43418314258,171,186,DavidMills73
2013-08-27 15:00:00 +0000,2013-08-27 15:00:00 +0000,1.5957446808510637e-05,6.279075259168299e-06,true,true,30279600.0,30279600.0,1,12,38,274,975,38,4,180.32203389830508,260.704680035617,31917.0,67966.93019247343,169,177,Nicklufc801
2013-08-30 11:00:00 +0000,2013-08-30 11:00:00 +0000,2.446808510638298e-05,8.313457860060926e-06,true,true,30038400.0,30038400.0,1,13,37,293,1000,37,3,189.2485549132948,269.0792511933375,32740.0,72403.6434227672,168,173,CityofFIint
2013-09-08 21:00:00 +0000,2013-09-08 21:00:00 +0000,3.1914893617021277e-06,9.475287505608426e-07,true,true,29221200.0,29221200.0,9,24,46,308,981,46,10,199.3212121212121,265.36301009335017,32888.0,70417.52712580348,175,165,Simondent93
2013-10-04 15:00:00 +0000,2013-10-04 15:00:00 +0000,1.170212765957447e-05,3.966632819326045e-06,true,true,27745200.0,27745200.0,1,4,213,668,998,219.5,1,359.8135135135135,352.6114013442072,133131.0,124334.80035792557,213,370,charismamag
2013-11-07 09:00:00 +0000,2013-11-07 09:00:00 +0000,6.3829787234042555e-06,2.6158877842586254e-06,true,true,24084000.0,24084000.0,2,25,45,326,999,45,36,212.67320261437908,276.9615208889891,32539.0,76707.68405314196,167,153,Benjayh
2013-11-15 03:00:00 +0000,2013-11-15 03:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,23889600.0,23889600.0,2,42,325,717,994,325.0,35,397.71985815602835,327.5685238734089,112157.0,107301.13783260406,48,282,HoustonPress
2013-11-22 10:00:00 +0000,2013-11-22 10:00:00 +0000,5.319148936170213e-06,2.3000448674050116e-06,true,true,22784400.0,22784400.0,3,25,47,354,998,47,34,222.28275862068966,280.0710674207229,32231.0,78439.80280618311,165,145,NathjOliver
2013-12-06 05:00:00 +0000,2013-12-06 05:00:00 +0000,2.1276595744680853e-06,6.316858337072285e-07,true,true,21589200.0,21589200.0,15,39,68,366,983,68,46,233.4113475177305,274.4512790133886,32911.0,75323.50455208488,177,141,bdaustralia
2013-12-07 23:00:00 +0000,2013-12-07 23:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,21441600.0,21441600.0,3,28,72,397,997,72,33,230.74820143884892,282.24190077718646,32074.0,79660.49055431917,164,139,mebdeuce
2013-12-20 05:00:00 +0000,2013-12-20 05:00:00 +0000,1.0638297872340427e-06,4.799631614990437e-07,true,true,29970000.0,29970000.0,3,90,100,102,996,100.0,102,105.24300986842105,75.70905882159163,255951.0,5731.861587651221,163,2432,piersmorgan
2013-12-26 16:00:00 +0000,2013-12-26 16:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,19825200.0,19825200.0,3,25,79,415,993,80.0,29,235.23880597014926,283.9520712947947,31522.0,80628.77879260415,160,134,BFC1887
2013-12-26 16:00:00 +0000,2013-12-26 16:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,19825200.0,19825200.0,4,26,80,416,994,81.0,30,236.23880597014926,283.9520712947947,31656.0,80628.77879260415,161,134,lufc
2013-12-26 16:00:00 +0000,2013-12-26 16:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,19825200.0,19825200.0,5,27,81,417,995,82.0,31,237.23880597014926,283.9520712947947,31790.0,80628.77879260415,162,134,LufcColin
2013-12-28 08:00:00 +0000,2013-12-28 08:00:00 +0000,2.1276595744680853e-06,6.316858337072285e-07,true,true,19681200.0,19681200.0,3,24,80,414,992,80,28,235.98496240601503,284.2999047908675,31386.0,80826.43586409632,159,133,Lovely_Rica
2014-01-18 14:00:00 +0000,2014-01-18 14:00:00 +0000,1.3829787234042553e-05,4.105957919096984e-06,true,true,17845200.0,17845200.0,3,23,79,426,991,79.5,27,240.36153846153846,285.32453866932633,31247.0,81410.0923668639,158,130,vardy7
2014-01-20 12:00:00 +0000,2014-01-20 12:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,17679600.0,17679600.0,3,21,77,423,988,77.0,24,241.0703125,285.9861006126912,30857.0,81788.04974365234,155,128,mikebuttleman
2014-01-20 12:00:00 +0000,2014-01-20 12:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,17679600.0,17679600.0,4,22,78,424,989,78.0,25,242.0703125,285.9861006126912,30985.0,81788.04974365234,156,128,onedanevans
2014-01-20 12:00:00 +0000,2014-01-20 12:00:00 +0000,1.0638297872340427e-06,3.158429168536142e-07,true,true,17679600.0,17679600.0,5,23,79,425,990,79.0,26,243.0703125,285.9861006126912,31113.0,81788.04974365234,157,128,Paddyboy89
2014-01-27 22:00:00 +0000,2014-01-27 22:00:00 +0000,2.1276595744680853e-06,7.958060783526579e-07,true,true,17042400.0,17042400.0,3,20,79,453,1000,79,23,249.8031496062992,293.2438462711651,31725.0,85991.95337590673,154,127,TSBible
2014-01-28 19:00:00 +0000,2014-01-28 19:00:00 +0000,3.1914893617021277e-06,9.475287505608426e-07,true,true,16966800.0,16966800.0,3,20,82,452,999,82,22,252.752,293.90073578676186,31594.0,86377.642496,153,125,TSSLUFC
2014-01-28 20:00:00 +0000,2014-01-28 20:00:00 +0000,2.1276595744680853e-06,7.958060783526579e-07,true,true,16963200.0,16963200.0,3,18,80,450,997,85.5,20,252.76612903225808,294.2229544363827,31343.0,86567.14691727371,151,124,LeedsEditor
2014-01-28 20:00:00 +0000,2014-01-28 20:00:00 +0000,2.1276595744680853e-06,7.958060783526579e-07,true,true,16963200.0,16963200.0,4,19,81,451,998,86.5,21,253.76612903225808,294.2229544363827,31467.0,86567.14691727371,152,124,WACCOE
2014-01-29 23:00:00 +0000,2014-01-29 23:00:00 +0000,3.1914893617021277e-06,1.4398894844971308e-06,true,true,16866000.0,16866000.0,3,18,90,468,996,90,19,253.79674796747966,294.54989664815804,31217.0,86759.64161544057,150,123,kbg2011
2014-02-01 16:00:00 +0000,2014-02-01 16:00:00 +0000,8.510638297872341e-06,2.6908635794743427e-06,true,true,16632000.0,16632000.0,3,18,89,467,995,99.5,18,254.85245901639345,294.8745404830685,31092.0,86950.99462510078,149,122,PhilHayYEP
2014-02-02 16:00:00 +0000,2014-02-02 16:00:00 +0000,4.255319148936171e-06,1.919852645996175e-06,true,true,16545600.0,16545600.0,3,16,108,465,993,108,13,255.12396694214877,295.03776394363217,30870.0,87047.28215285842,147,121,CNNReliable
