statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,mynypd,%m-%d-%Y,7639,0.6455798864557989,2014-04-24 04:00:00 UTC,2014-04-24 04:00:00 UTC,1,286,0.678041941702202,0.9988901220865705,193.24195338512757
indegree,mynypd,%m-%d-%Y,8571,0.901920438957476,2014-04-25 04:00:00 UTC,2014-04-25 04:00:00 UTC,2,373,0.6885703459716211,0.9988901220865705,256.14816870144307
indegree,mynypd,%m-%d-%Y,8878,0.9606647034076568,2014-04-26 04:00:00 UTC,2014-04-26 04:00:00 UTC,3,402,0.6900783557200237,0.9988901220865705,276.7214206437295
indegree,mynypd,%m-%d-%Y,9064,0.9425746739587716,2014-04-27 04:00:00 UTC,2014-04-27 04:00:00 UTC,4,405,0.6876243118207501,0.9988901220865705,277.80022197558304
indegree,mynypd,%m-%d-%Y,9137,0.98989898989899,2014-04-28 04:00:00 UTC,2014-04-28 04:00:00 UTC,5,409,0.6892069813496992,0.9988901220865705,281.19644839067723
indegree,mynypd,%m-%d-%Y,9194,0.9951515151515151,2014-04-29 04:00:00 UTC,2014-04-29 04:00:00 UTC,6,412,0.6898566340184337,0.9988901220865705,283.53107658157626
indegree,mynypd,%m-%d-%Y,9240,0.9965989900030918,2014-04-30 04:00:00 UTC,2014-04-30 04:00:00 UTC,7,415,0.68792056062239,0.9988901220865705,284.7991120976695
indegree,mynypd,%m-%d-%Y,9272,0.9955555555555555,2014-05-01 04:00:00 UTC,2014-05-01 04:00:00 UTC,8,418,0.6867309703846252,0.9988901220865705,286.3668146503887
indegree,mynypd,%m-%d-%Y,9311,0.9939393939393939,2014-05-02 04:00:00 UTC,2014-05-02 04:00:00 UTC,9,419,0.6855102517670428,0.9988901220865705,286.5432852386239
indegree,mynypd,%m-%d-%Y,9347,0.9983838383838384,2014-05-03 04:00:00 UTC,2014-05-03 04:00:00 UTC,10,422,0.6857015562017399,0.9988901220865705,288.6803551609325
indegree,mynypd,%m-%d-%Y,9390,0.9971717171717172,2014-05-04 04:00:00 UTC,2014-05-04 04:00:00 UTC,11,425,0.6871217515129946,0.9988901220865705,291.3396226415097
indegree,mynypd,%m-%d-%Y,9422,0.997979797979798,2014-05-05 04:00:00 UTC,2014-05-05 04:00:00 UTC,12,428,0.6878526851507698,0.9988901220865705,293.7130965593787
indegree,mynypd,%m-%d-%Y,9519,0.9947474747474747,2014-05-06 04:00:00 UTC,2014-05-06 04:00:00 UTC,13,431,0.689731048189351,0.9988901220865705,296.58435072142095
indegree,mynypd,%m-%d-%Y,9571,0.9900030918272699,2014-05-07 04:00:00 UTC,2014-05-07 04:00:00 UTC,14,433,0.6890325050355579,0.9988901220865705,297.662042175361
indegree,mynypd,%m-%d-%Y,9593,0.997979797979798,2014-05-08 04:00:00 UTC,2014-05-08 04:00:00 UTC,15,433,0.6890325050355579,0.9988901220865705,297.662042175361
indegree,mynypd,%m-%d-%Y,9601,1.0,2014-05-09 04:00:00 UTC,2014-05-09 04:00:00 UTC,16,433,0.6890325050355579,0.9988901220865705,297.662042175361
indegree,mynypd,%m-%d-%Y,9620,1.0,2014-05-10 04:00:00 UTC,2014-05-10 04:00:00 UTC,17,443,0.6931350786707584,0.9988901220865705,306.3657047724752
indegree,mynypd,%m-%d-%Y,9632,1.0,2014-05-11 04:00:00 UTC,2014-05-11 04:00:00 UTC,18,443,0.6931350786707584,0.9988901220865705,306.3657047724752
indegree,mynypd,%m-%d-%Y,9637,1.0,2014-05-12 04:00:00 UTC,2014-05-12 04:00:00 UTC,19,445,0.6926763056063839,0.9988901220865705,307.54827968923445
indegree,mynypd,%m-%d-%Y,9653,1.0,2014-05-13 04:00:00 UTC,2014-05-13 04:00:00 UTC,20,446,0.6919764556235898,0.9988901220865705,307.92952275249746
indegree,mynypd,%m-%d-%Y,9670,0.9995959595959596,2014-05-14 04:00:00 UTC,2014-05-14 04:00:00 UTC,21,447,0.6920113675388089,0.9988901220865705,308.63706992230874
indegree,mynypd,%m-%d-%Y,9680,1.0,2014-05-15 04:00:00 UTC,2014-05-15 04:00:00 UTC,22,449,0.6903440621531635,0.9988901220865705,309.27413984461725
indegree,mynypd,%m-%d-%Y,9687,1.0,2014-05-16 04:00:00 UTC,2014-05-16 04:00:00 UTC,23,449,0.6903440621531635,0.9988901220865705,309.27413984461725
indegree,mynypd,%m-%d-%Y,9697,0.9955555555555555,2014-05-17 04:00:00 UTC,2014-05-17 04:00:00 UTC,24,449,0.6903440621531635,0.9988901220865705,309.27413984461725
indegree,mynypd,%m-%d-%Y,9703,1.0,2014-05-18 04:00:00 UTC,2014-05-18 04:00:00 UTC,25,451,0.6873227278332721,0.9988901220865705,309.29522752497246
indegree,mynypd,%m-%d-%Y,9705,1.0,2014-05-19 04:00:00 UTC,2014-05-19 04:00:00 UTC,26,451,0.6873227278332721,0.9988901220865705,309.29522752497246
indegree,mynypd,%m-%d-%Y,9711,0.9983838383838384,2014-05-20 04:00:00 UTC,2014-05-20 04:00:00 UTC,27,451,0.6873227278332721,0.9988901220865705,309.29522752497246
indegree,mynypd,%m-%d-%Y,9721,0.9963636363636363,2014-05-21 04:00:00 UTC,2014-05-21 04:00:00 UTC,28,452,0.6863758179504916,0.9988901220865705,309.5554938956717
indegree,mynypd,%m-%d-%Y,9740,0.9987878787878788,2014-05-22 04:00:00 UTC,2014-05-22 04:00:00 UTC,29,452,0.6863758179504916,0.9988901220865705,309.5554938956717
indegree,mynypd,%m-%d-%Y,9758,0.9995959595959596,2014-05-23 04:00:00 UTC,2014-05-23 04:00:00 UTC,30,453,0.6854048598901914,0.9988901220865705,309.8029966703665
indegree,mynypd,%m-%d-%Y,9766,1.0,2014-05-24 04:00:00 UTC,2014-05-24 04:00:00 UTC,31,453,0.6854048598901914,0.9988901220865705,309.8029966703665
indegree,mynypd,%m-%d-%Y,9768,1.0,2014-05-25 04:00:00 UTC,2014-05-25 04:00:00 UTC,32,454,0.6854990653014928,0.9988901220865705,310.53107658157626
indegree,mynypd,%m-%d-%Y,9769,1.0,2014-05-26 04:00:00 UTC,2014-05-26 04:00:00 UTC,33,454,0.6854990653014928,0.9988901220865705,310.53107658157626
indegree,mynypd,%m-%d-%Y,9770,0.9983838383838384,2014-05-27 04:00:00 UTC,2014-05-27 04:00:00 UTC,34,454,0.6854990653014928,0.9988901220865705,310.53107658157626
indegree,mynypd,%m-%d-%Y,9773,1.0,2014-05-28 04:00:00 UTC,2014-05-28 04:00:00 UTC,35,454,0.6854990653014928,0.9988901220865705,310.53107658157626
indegree,mynypd,%m-%d-%Y,9778,0.9991919191919192,2014-05-29 04:00:00 UTC,2014-05-29 04:00:00 UTC,36,454,0.6854990653014928,0.9988901220865705,310.53107658157626
indegree,mynypd,%m-%d-%Y,9791,1.0,2014-05-30 04:00:00 UTC,2014-05-30 04:00:00 UTC,37,455,0.6842238433067521,0.9988901220865705,310.63762486126546
indegree,mynypd,%m-%d-%Y,9798,1.0,2014-05-31 04:00:00 UTC,2014-05-31 04:00:00 UTC,38,458,0.684262805489646,0.9988901220865705,312.70810210876823
indegree,mynypd,%m-%d-%Y,9802,1.0,2014-06-01 04:00:00 UTC,2014-06-01 04:00:00 UTC,39,458,0.684262805489646,0.9988901220865705,312.70810210876823
indegree,mynypd,%m-%d-%Y,9804,1.0,2014-06-02 04:00:00 UTC,2014-06-02 04:00:00 UTC,40,458,0.684262805489646,0.9988901220865705,312.70810210876823
indegree,mynypd,%m-%d-%Y,9807,1.0,2014-06-03 04:00:00 UTC,2014-06-03 04:00:00 UTC,41,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9810,0.9987878787878788,2014-06-04 04:00:00 UTC,2014-06-04 04:00:00 UTC,42,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9815,1.0,2014-06-05 04:00:00 UTC,2014-06-05 04:00:00 UTC,43,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9817,1.0,2014-06-06 04:00:00 UTC,2014-06-06 04:00:00 UTC,44,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9820,1.0,2014-06-07 04:00:00 UTC,2014-06-07 04:00:00 UTC,45,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9827,1.0,2014-06-08 04:00:00 UTC,2014-06-08 04:00:00 UTC,46,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9829,1.0,2014-06-09 04:00:00 UTC,2014-06-09 04:00:00 UTC,47,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9832,1.0,2014-06-10 04:00:00 UTC,2014-06-10 04:00:00 UTC,48,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9837,1.0,2014-06-11 04:00:00 UTC,2014-06-11 04:00:00 UTC,49,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9840,1.0,2014-06-12 04:00:00 UTC,2014-06-12 04:00:00 UTC,50,459,0.6840785832335741,0.9988901220865705,313.3079911209769
indegree,mynypd,%m-%d-%Y,9841,1.0,2014-06-13 04:00:00 UTC,2014-06-13 04:00:00 UTC,51,459,0.6840785832335741,0.9988901220865705,313.3079911209769
