statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,mynypd,%m-%d-%Y %H,7,0.8164965809277261,2014-04-22 23:00:00 UTC,2014-04-22 23:00:00 UTC,1,6,0.35164631890492054,0.8385127635960045,2.109877913429523
indegree,mynypd,%m-%d-%Y %H,146,0.3872983346207417,2014-04-23 00:00:00 UTC,2014-04-23 00:00:00 UTC,2,6,0.35164631890492054,0.8385127635960045,2.109877913429523
indegree,mynypd,%m-%d-%Y %H,876,0.3962969619506085,2014-04-23 01:00:00 UTC,2014-04-23 01:00:00 UTC,3,7,0.4335658791818614,0.9250832408435072,3.03496115427303
indegree,mynypd,%m-%d-%Y %H,1687,0.6973310618966496,2014-04-23 02:00:00 UTC,2014-04-23 02:00:00 UTC,4,10,0.5950055493895671,0.9911209766925638,5.950055493895671
indegree,mynypd,%m-%d-%Y %H,2456,0.8181151985929943,2014-04-23 03:00:00 UTC,2014-04-23 03:00:00 UTC,5,13,0.6438999402373431,0.9911209766925638,8.37069922308546
indegree,mynypd,%m-%d-%Y %H,2973,0.8588550299630243,2014-04-23 04:00:00 UTC,2014-04-23 04:00:00 UTC,6,16,0.6395324639289679,0.9911209766925638,10.232519422863486
indegree,mynypd,%m-%d-%Y %H,3338,0.9048230760247576,2014-04-23 05:00:00 UTC,2014-04-23 05:00:00 UTC,7,26,0.683428669000256,0.9988901220865705,17.769145394006657
indegree,mynypd,%m-%d-%Y %H,3712,0.8954653937947494,2014-04-23 06:00:00 UTC,2014-04-23 06:00:00 UTC,8,32,0.6782567980022196,0.9988901220865705,21.704217536071027
indegree,mynypd,%m-%d-%Y %H,4084,0.9048230760247576,2014-04-23 07:00:00 UTC,2014-04-23 07:00:00 UTC,9,37,0.7097669256381799,0.9988901220865705,26.261376248612656
indegree,mynypd,%m-%d-%Y %H,4351,0.9314644955168505,2014-04-23 08:00:00 UTC,2014-04-23 08:00:00 UTC,10,38,0.7091973830247095,0.9988901220865705,26.94950055493896
indegree,mynypd,%m-%d-%Y %H,4618,0.94509886411443,2014-04-23 09:00:00 UTC,2014-04-23 09:00:00 UTC,11,41,0.7007660864621966,0.9988901220865705,28.73140954495006
indegree,mynypd,%m-%d-%Y %H,4856,0.9574747917580009,2014-04-23 10:00:00 UTC,2014-04-23 10:00:00 UTC,12,48,0.6972461154273031,0.9988901220865705,33.46781354051055
indegree,mynypd,%m-%d-%Y %H,5033,0.9588835212023618,2014-04-23 11:00:00 UTC,2014-04-23 11:00:00 UTC,13,57,0.6933232081313161,0.9988901220865705,39.51942286348502
