statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,opferguson,%m-%d-%Y %H,4,0.3333333333333333,2014-08-10 10:00:00 UTC,2014-08-10 10:00:00 UTC,1,4,0.806881243063263,0.978912319644839,3.227524972253052
indegree,opferguson,%m-%d-%Y %H,5,0.8660254037844387,2014-08-10 19:00:00 UTC,2014-08-10 19:00:00 UTC,2,4,0.806881243063263,0.978912319644839,3.227524972253052
indegree,opferguson,%m-%d-%Y %H,5,1.0,2014-08-10 21:00:00 UTC,2014-08-10 21:00:00 UTC,3,4,0.806881243063263,0.978912319644839,3.227524972253052
indegree,opferguson,%m-%d-%Y %H,7,0.5855400437691199,2014-08-10 22:00:00 UTC,2014-08-10 22:00:00 UTC,4,4,0.806881243063263,0.978912319644839,3.227524972253052
indegree,opferguson,%m-%d-%Y %H,9,0.9682458365518541,2014-08-10 23:00:00 UTC,2014-08-10 23:00:00 UTC,5,4,0.806881243063263,0.978912319644839,3.227524972253052
indegree,opferguson,%m-%d-%Y %H,9,1.0,2014-08-11 02:00:00 UTC,2014-08-11 02:00:00 UTC,6,4,0.806881243063263,0.978912319644839,3.227524972253052
indegree,opferguson,%m-%d-%Y %H,9,1.0,2014-08-11 03:00:00 UTC,2014-08-11 03:00:00 UTC,7,4,0.806881243063263,0.978912319644839,3.227524972253052
indegree,opferguson,%m-%d-%Y %H,12,0.6776866969767514,2014-08-11 04:00:00 UTC,2014-08-11 04:00:00 UTC,8,5,0.6483906770255272,0.978912319644839,3.241953385127636
indegree,opferguson,%m-%d-%Y %H,21,0.8101914936669333,2014-08-11 05:00:00 UTC,2014-08-11 05:00:00 UTC,9,5,0.6483906770255272,0.978912319644839,3.241953385127636
indegree,opferguson,%m-%d-%Y %H,85,0.743365055404321,2014-08-11 06:00:00 UTC,2014-08-11 06:00:00 UTC,10,5,0.6483906770255272,0.978912319644839,3.241953385127636
indegree,opferguson,%m-%d-%Y %H,130,0.9751489827863457,2014-08-11 07:00:00 UTC,2014-08-11 07:00:00 UTC,11,5,0.6483906770255272,0.978912319644839,3.241953385127636
indegree,opferguson,%m-%d-%Y %H,172,0.8096915128940203,2014-08-11 08:00:00 UTC,2014-08-11 08:00:00 UTC,12,6,0.6474287828338884,0.978912319644839,3.88457269700333
indegree,opferguson,%m-%d-%Y %H,195,0.951781279143378,2014-08-11 09:00:00 UTC,2014-08-11 09:00:00 UTC,13,7,0.6235928333597591,0.978912319644839,4.365149833518314
indegree,opferguson,%m-%d-%Y %H,223,0.9798004987531173,2014-08-11 10:00:00 UTC,2014-08-11 10:00:00 UTC,14,7,0.6235928333597591,0.978912319644839,4.365149833518314
indegree,opferguson,%m-%d-%Y %H,238,0.9949783954221652,2014-08-11 11:00:00 UTC,2014-08-11 11:00:00 UTC,15,7,0.6235928333597591,0.978912319644839,4.365149833518314
indegree,opferguson,%m-%d-%Y %H,262,0.9699545654404221,2014-08-11 12:00:00 UTC,2014-08-11 12:00:00 UTC,16,7,0.6235928333597591,0.978912319644839,4.365149833518314
indegree,opferguson,%m-%d-%Y %H,268,0.9821203197307531,2014-08-11 13:00:00 UTC,2014-08-11 13:00:00 UTC,17,7,0.6235928333597591,0.978912319644839,4.365149833518314
indegree,opferguson,%m-%d-%Y %H,274,0.9837716843872412,2014-08-11 14:00:00 UTC,2014-08-11 14:00:00 UTC,18,7,0.6235928333597591,0.978912319644839,4.365149833518314
