statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,shutitdown,%m-%d-%Y,,1.0,2013-02-25 05:00:00 UTC,2013-02-25 05:00:00 UTC,1,1,0.6653718091009989,0.6653718091009989,0.6653718091009989
indegree,shutitdown,%m-%d-%Y,,,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y,,,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y,,,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y,,,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y,,,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y,,,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y,,,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,,,,,
indegree,shutitdown,%m-%d-%Y,15,0.30151134457776363,2013-07-10 04:00:00 UTC,2013-07-10 04:00:00 UTC,3,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,22,0.9862208570839335,2013-07-11 04:00:00 UTC,2013-07-11 04:00:00 UTC,4,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,26,0.9874297775308631,2013-07-12 04:00:00 UTC,2013-07-12 04:00:00 UTC,5,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,35,0.997267339661542,2013-07-13 04:00:00 UTC,2013-07-13 04:00:00 UTC,6,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,37,0.9953138311539518,2013-07-14 04:00:00 UTC,2013-07-14 04:00:00 UTC,7,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,43,0.8652373912703998,2013-07-15 04:00:00 UTC,2013-07-15 04:00:00 UTC,8,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,50,0.9990758463931222,2013-07-16 04:00:00 UTC,2013-07-16 04:00:00 UTC,9,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,60,0.9829645814643656,2013-07-17 04:00:00 UTC,2013-07-17 04:00:00 UTC,10,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,64,0.9994024499018266,2013-07-18 04:00:00 UTC,2013-07-18 04:00:00 UTC,11,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,71,0.9993551853171542,2013-07-19 04:00:00 UTC,2013-07-19 04:00:00 UTC,12,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,76,0.9995911811772498,2013-07-20 04:00:00 UTC,2013-07-20 04:00:00 UTC,13,2,0.5871254162042175,0.6653718091009989,1.174250832408435
indegree,shutitdown,%m-%d-%Y,90,0.9886571533113795,2013-07-21 04:00:00 UTC,2013-07-21 04:00:00 UTC,14,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,95,0.9993141289437586,2013-07-22 04:00:00 UTC,2013-07-22 04:00:00 UTC,15,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,103,0.9651767845230154,2013-07-23 04:00:00 UTC,2013-07-23 04:00:00 UTC,16,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,110,0.9474940334128878,2013-07-24 04:00:00 UTC,2013-07-24 04:00:00 UTC,17,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,116,0.9990453460620525,2013-07-25 04:00:00 UTC,2013-07-25 04:00:00 UTC,18,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,120,0.9991825294873292,2013-07-26 04:00:00 UTC,2013-07-26 04:00:00 UTC,19,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,127,0.9989023051591658,2013-07-27 04:00:00 UTC,2013-07-27 04:00:00 UTC,20,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,136,0.9982655103402268,2013-07-28 04:00:00 UTC,2013-07-28 04:00:00 UTC,21,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,138,0.9996779388083736,2013-07-29 04:00:00 UTC,2013-07-29 04:00:00 UTC,22,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,145,0.9875894988066826,2013-07-30 04:00:00 UTC,2013-07-30 04:00:00 UTC,23,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,148,0.9996779388083736,2013-07-31 04:00:00 UTC,2013-07-31 04:00:00 UTC,24,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,152,0.9993141289437586,2013-08-01 04:00:00 UTC,2013-08-01 04:00:00 UTC,25,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,155,0.9961867463671029,2013-08-02 04:00:00 UTC,2013-08-02 04:00:00 UTC,26,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,161,0.9574747917580009,2013-08-03 04:00:00 UTC,2013-08-03 04:00:00 UTC,27,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,164,0.9985450475657527,2013-08-04 04:00:00 UTC,2013-08-04 04:00:00 UTC,28,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,170,0.9931729155008394,2013-08-05 04:00:00 UTC,2013-08-05 04:00:00 UTC,29,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,195,0.9761006289308176,2013-08-06 04:00:00 UTC,2013-08-06 04:00:00 UTC,30,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,200,0.995858981533296,2013-08-07 04:00:00 UTC,2013-08-07 04:00:00 UTC,31,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,207,0.9777777777777777,2013-08-08 04:00:00 UTC,2013-08-08 04:00:00 UTC,32,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,218,0.9964500273074822,2013-08-09 04:00:00 UTC,2013-08-09 04:00:00 UTC,33,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,263,0.9742415569547797,2013-08-10 04:00:00 UTC,2013-08-10 04:00:00 UTC,34,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,275,0.9991825294873292,2013-08-11 04:00:00 UTC,2013-08-11 04:00:00 UTC,35,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,280,0.9993141289437586,2013-08-12 04:00:00 UTC,2013-08-12 04:00:00 UTC,36,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,283,0.9994404029099049,2013-08-13 04:00:00 UTC,2013-08-13 04:00:00 UTC,37,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,297,0.9991825294873292,2013-08-14 04:00:00 UTC,2013-08-14 04:00:00 UTC,38,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,346,0.9984350547730829,2013-08-15 04:00:00 UTC,2013-08-15 04:00:00 UTC,39,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,353,0.9993141289437586,2013-08-16 04:00:00 UTC,2013-08-16 04:00:00 UTC,40,3,0.7138364779874213,0.967258601553829,2.141509433962264
indegree,shutitdown,%m-%d-%Y,369,0.994848311390956,2013-08-17 04:00:00 UTC,2013-08-17 04:00:00 UTC,41,3,0.7138364779874213,0.967258601553829,2.141509433962264
