first_seen,first_posted,entry_volatility_raw,entry_volatility_alexa,pre_media_raw,pre_media_alexa,total_seen_lifespan,total_posted_lifespan,rank_min,rank_first_quartile,rank_second_quartile,rank_third_quartile,rank_max,rank_median,rank_mode,rank_mean,rank_standard_deviation,rank_sum,rank_sample_variance,rank_elbow,rank_n,screen_name
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,1,1,1,1,1,1.0,1,1.0,0.0,1172.0,0.0,1,1172,Karnythia
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,2,4,4,4,5,4.0,4,3.99061433447099,0.1335290156474586,4677.0,0.017829998019779237,2,1172,Blackamazon
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,3,11,12,12,12,12.0,12,11.50938566552901,0.7821039913655081,13489.0,0.6116866533098587,3,1172,thewayoftheid
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,4,7,7,7,11,7.0,7,7.229522184300341,0.46117017324274695,8473.0,0.21267792868874524,7,1172,ShelbyKnox
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,5,63,66,67,68,66.0,66,64.2815699658703,4.998385567966968,75338.0,24.983858286060475,42,1172,deluxvivens
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,2,10,10,10,10,10.0,10,9.93174061433447,0.5437664509666587,11640.0,0.2956819531968756,6,1172,RoadToPalestine
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,7,92,101,104,111,101.0,103,98.44965870307168,9.459723759373407,115383.0,89.48637360365373,74,1172,kchamomile
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,8,51,56,58,64,56.0,58,54.42320819112628,4.636449368326151,63784.0,21.496662745051964,32,1172,blackgirlinmain
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,9,22,25,26,69,25.0,26,24.0358361774744,3.5711317505782483,28170.0,12.752981979988064,16,1172,hugoschwyzer
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,10,95,161,167,176,161.0,176,142.0366894197952,34.09514671200448,166467.0,1162.4790293131098,124,1172,BhaswatiChat
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,9,61,62,62,64,62.0,62,60.225255972696246,5.75143048115241,70584.0,33.07895257952905,36,1172,weian_fu
2013-08-12 17:00:00 +0000,2013-08-12 17:00:00 +0000,1.0638297872340427e-06,9.752756983965808e-07,true,true,59194800.0,59194800.0,7,14,15,17,39,15.0,17,15.363481228668942,2.8116585956551234,18006.0,7.905424058521341,11,1172,ChiefElk
