statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,solidarityisforwhitewomen,%m-%d-%Y,3278,0.6873685912987223,2013-08-14 04:00:00 UTC,2013-08-14 04:00:00 UTC,1,5,0.6914539400665928,0.9988901220865705,3.4572697003329638
indegree,solidarityisforwhitewomen,%m-%d-%Y,3747,0.9323835104519445,2013-08-15 04:00:00 UTC,2013-08-15 04:00:00 UTC,2,9,0.6016771488469601,0.9988901220865705,5.415094339622641
indegree,solidarityisforwhitewomen,%m-%d-%Y,3835,0.9792847572915593,2013-08-16 04:00:00 UTC,2013-08-16 04:00:00 UTC,3,10,0.5750277469478358,0.9988901220865705,5.750277469478357
indegree,solidarityisforwhitewomen,%m-%d-%Y,3944,0.9764895330112722,2013-08-17 04:00:00 UTC,2013-08-17 04:00:00 UTC,4,13,0.4708870485785025,0.9988901220865705,6.121531631520533
indegree,solidarityisforwhitewomen,%m-%d-%Y,3981,0.9943434343434343,2013-08-18 04:00:00 UTC,2013-08-18 04:00:00 UTC,5,13,0.4708870485785025,0.9988901220865705,6.121531631520533
indegree,solidarityisforwhitewomen,%m-%d-%Y,4003,0.9967676767676767,2013-08-19 04:00:00 UTC,2013-08-19 04:00:00 UTC,6,14,0.45715078484223876,0.9988901220865705,6.400110987791343
indegree,solidarityisforwhitewomen,%m-%d-%Y,4020,0.9935353535353535,2013-08-20 04:00:00 UTC,2013-08-20 04:00:00 UTC,7,16,0.48890122086570476,0.9988901220865705,7.822419533851276
indegree,solidarityisforwhitewomen,%m-%d-%Y,4044,0.9957745027311141,2013-08-21 04:00:00 UTC,2013-08-21 04:00:00 UTC,8,19,0.5176996319878496,0.9988901220865705,9.836293007769143
indegree,solidarityisforwhitewomen,%m-%d-%Y,4055,0.9886868686868687,2013-08-22 04:00:00 UTC,2013-08-22 04:00:00 UTC,9,19,0.5176996319878496,0.9988901220865705,9.836293007769143
indegree,solidarityisforwhitewomen,%m-%d-%Y,4067,0.9894949494949495,2013-08-23 04:00:00 UTC,2013-08-23 04:00:00 UTC,10,21,0.524681570741504,0.9988901220865705,11.018312985571583
indegree,solidarityisforwhitewomen,%m-%d-%Y,4073,0.9939393939393939,2013-08-24 04:00:00 UTC,2013-08-24 04:00:00 UTC,11,21,0.524681570741504,0.9988901220865705,11.018312985571583
indegree,solidarityisforwhitewomen,%m-%d-%Y,4077,0.9850505050505051,2013-08-25 04:00:00 UTC,2013-08-25 04:00:00 UTC,12,23,0.4823384645080344,0.9988901220865705,11.093784683684792
indegree,solidarityisforwhitewomen,%m-%d-%Y,4081,1.0,2013-08-26 04:00:00 UTC,2013-08-26 04:00:00 UTC,13,24,0.4672817240103588,0.9988901220865705,11.21476137624861
indegree,solidarityisforwhitewomen,%m-%d-%Y,4083,1.0,2013-08-27 04:00:00 UTC,2013-08-27 04:00:00 UTC,14,24,0.4672817240103588,0.9988901220865705,11.21476137624861
indegree,solidarityisforwhitewomen,%m-%d-%Y,4113,0.9951515151515151,2013-08-28 04:00:00 UTC,2013-08-28 04:00:00 UTC,15,25,0.4885460599334073,0.9988901220865705,12.213651498335182
indegree,solidarityisforwhitewomen,%m-%d-%Y,4131,0.9987878787878788,2013-08-29 04:00:00 UTC,2013-08-29 04:00:00 UTC,16,25,0.4885460599334073,0.9988901220865705,12.213651498335182
indegree,solidarityisforwhitewomen,%m-%d-%Y,4139,0.9927272727272727,2013-08-30 04:00:00 UTC,2013-08-30 04:00:00 UTC,17,26,0.4877486553402202,0.9988901220865705,12.681465038845726
indegree,solidarityisforwhitewomen,%m-%d-%Y,4147,1.0,2013-08-31 04:00:00 UTC,2013-08-31 04:00:00 UTC,18,26,0.4877486553402202,0.9988901220865705,12.681465038845726
