statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,232,0.6291739863791762,2013-08-12 22:00:00 UTC,2013-08-12 22:00:00 UTC,1,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,376,0.6761316872427984,2013-08-12 23:00:00 UTC,2013-08-12 23:00:00 UTC,2,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,621,0.7044025157232704,2013-08-13 00:00:00 UTC,2013-08-13 00:00:00 UTC,3,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,945,0.6990134239042536,2013-08-13 01:00:00 UTC,2013-08-13 01:00:00 UTC,4,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,1183,0.8508735150244584,2013-08-13 02:00:00 UTC,2013-08-13 02:00:00 UTC,5,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,1467,0.7941142123087703,2013-08-13 03:00:00 UTC,2013-08-13 03:00:00 UTC,6,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,1693,0.8818148554701792,2013-08-13 04:00:00 UTC,2013-08-13 04:00:00 UTC,7,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,1897,0.8924454392837158,2013-08-13 05:00:00 UTC,2013-08-13 05:00:00 UTC,8,2,0.5812985571587126,0.9167591564927858,1.1625971143174252
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2053,0.9338009644892591,2013-08-13 06:00:00 UTC,2013-08-13 06:00:00 UTC,9,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2252,0.897851819377466,2013-08-13 07:00:00 UTC,2013-08-13 07:00:00 UTC,10,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2429,0.9387883887252839,2013-08-13 08:00:00 UTC,2013-08-13 08:00:00 UTC,11,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2578,0.9508987286277948,2013-08-13 09:00:00 UTC,2013-08-13 09:00:00 UTC,12,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2656,0.9710398845717819,2013-08-13 10:00:00 UTC,2013-08-13 10:00:00 UTC,13,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2701,0.983407193651448,2013-08-13 11:00:00 UTC,2013-08-13 11:00:00 UTC,14,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2732,0.98989898989899,2013-08-13 12:00:00 UTC,2013-08-13 12:00:00 UTC,15,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2770,0.9923232323232323,2013-08-13 13:00:00 UTC,2013-08-13 13:00:00 UTC,16,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2810,0.9891786045552922,2013-08-13 14:00:00 UTC,2013-08-13 14:00:00 UTC,17,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2843,0.9935353535353535,2013-08-13 15:00:00 UTC,2013-08-13 15:00:00 UTC,18,3,0.497040325564188,0.9167591564927858,1.491120976692564
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2881,0.9912398227352365,2013-08-13 16:00:00 UTC,2013-08-13 16:00:00 UTC,19,4,0.6225027746947837,0.9988901220865705,2.4900110987791346
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2902,0.9941255281871586,2013-08-13 17:00:00 UTC,2013-08-13 17:00:00 UTC,20,4,0.6225027746947837,0.9988901220865705,2.4900110987791346
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2946,0.9773737373737373,2013-08-13 18:00:00 UTC,2013-08-13 18:00:00 UTC,21,4,0.6225027746947837,0.9988901220865705,2.4900110987791346
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,2986,0.9903030303030304,2013-08-13 19:00:00 UTC,2013-08-13 19:00:00 UTC,22,4,0.6225027746947837,0.9988901220865705,2.4900110987791346
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,3030,0.9838194372874369,2013-08-13 20:00:00 UTC,2013-08-13 20:00:00 UTC,23,4,0.6225027746947837,0.9988901220865705,2.4900110987791346
indegree,solidarityisforwhitewomen,%m-%d-%Y %H,3069,0.9763990518396373,2013-08-13 21:00:00 UTC,2013-08-13 21:00:00 UTC,24,5,0.6914539400665928,0.9988901220865705,3.4572697003329638
