first_seen,first_posted,entry_volatility_raw,entry_volatility_alexa,pre_media_raw,pre_media_alexa,total_seen_lifespan,total_posted_lifespan,rank_min,rank_first_quartile,rank_second_quartile,rank_third_quartile,rank_max,rank_median,rank_mode,rank_mean,rank_standard_deviation,rank_sum,rank_sample_variance,rank_elbow,rank_n,screen_name
2014-06-09 00:00:00 +0000,2014-06-09 00:00:00 +0000,2.5672308510638295,1.7969666186506719,true,true,30499200.0,30499200.0,1,591,605,610,625,605.0,610,584.9024390243902,83.00258734669829,47962.0,6889.429506246279,541,82,Toure
2014-06-09 00:00:00 +0000,2014-06-09 00:00:00 +0000,2.5672308510638295,1.7969666186506719,true,true,30499200.0,30499200.0,2,592,606,611,626,606.0,611,585.9024390243902,83.00258734669829,48044.0,6889.429506246279,542,82,ProgsToday
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,1,1,1,1,1,1,1,1.0,0.0,81.0,0.0,1,81,georgewillf
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,2,6,6,6,6,6,6,5.802469135802469,0.5966936283256583,470.0,0.3560432860844389,4,81,feministing
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,2,2,3,3,3,3,3,2.54320987654321,0.49812940745264234,206.0,0.24813290656912054,2,81,wagatwe
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,2,2,2,3,4,2,2,2.4814814814814814,0.5237828008789243,201.0,0.27434842249657077,2,81,washingtonpost
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,4,4,4,4,6,4,4,4.061728395061729,0.3275678805289284,329.0,0.10730071635421429,4,81,Katie_Speak
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,5,5,5,5,6,5,5,5.111111111111111,0.3142696805273545,414.0,0.09876543209876545,5,81,feministabulous
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,7,9,9,10,10,9,9,9.209876543209877,0.5819517900934654,746.0,0.3386678859929888,7,81,ZerlinaMaxwell
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,8,12,12,12,12,12,12,11.790123456790123,0.5603360848350736,955.0,0.3139765279682987,8,81,SurvivingTumblr
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,9,19,21,22,23,21,21,20.40740740740741,2.590475325932697,1653.0,6.710562414266113,15,81,DCist
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,9,11,11,11,12,11,11,11.11111111111111,0.4444444444444445,900.0,0.1975308641975309,9,81,lizzwinstead
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,11,28,30,30,31,30,30,28.51851851851852,3.60764315907731,2310.0,13.015089163237313,18,81,vociferous_girl
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,12,22,24,24,25,24,24,22.71604938271605,2.894160011195101,1840.0,8.376162170400828,16,81,NoRedTapeCU
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,13,16,17,17,17,17,17,16.34567901234568,1.1983578664068888,1324.0,1.436061575979271,13,81,BuzzFeed
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,14,41,44,45,45,44,45,41.79012345679013,5.467561013975849,3385.0,29.89422344154861,25,81,safercampus
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,15,42,45,46,46,45,46,42.79012345679013,5.467561013975849,3466.0,29.89422344154861,26,81,NSVRC
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,16,43,46,47,47,46,47,43.79012345679013,5.467561013975849,3547.0,29.89422344154861,27,81,SarahAshleigh5
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,17,46,49,50,50,49,50,46.69135802469136,5.777012717100998,3782.0,33.37387593354666,29,81,Hegemommy
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,18,40,43,44,44,43,44,40.7037037037037,5.473718226292844,3297.0,29.961591220850476,23,81,GrimalkinRN
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,19,50,54,55,55,54,55,51.358024691358025,6.066114427399472,4160.0,36.79774424630403,36,81,QuiltingMuriel
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,19,26,28,28,29,28,28,26.80246913580247,2.71447765971591,2171.0,7.368388965096764,19,81,danielledirks
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,21,51,55,56,56,55,56,52.370370370370374,6.000914425060558,4242.0,36.010973936899894,37,81,MinniePurrl
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,20,33,35,36,36,35,35,33.370370370370374,4.010616911520464,2703.0,16.08504801097395,20,81,danabolger
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,23,69,73,75,77,73,77,70.45679012345678,8.715035089445877,5707.0,75.9518366102729,49,81,free_to_breathe
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,15,16,16,16,35,16,16,18.012345679012345,5.311282719590401,1459.0,28.2097241274196,15,81,bannerite
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,22,32,34,35,45,34,34,32.82716049382716,3.630427391963071,2659.0,13.180003048315786,22,81,breakthrough
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,26,70,74,76,78,74,78,71.49382716049382,8.54490456323637,5791.0,73.01539399481776,50,81,jennyalyse
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,27,71,75,77,79,75,79,72.49382716049382,8.54490456323637,5872.0,73.01539399481776,51,81,TheBurningBra
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,28,73,77,79,81,77,81,74.48148148148148,8.611091198702585,6033.0,74.15089163237312,53,81,amaditalks
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,29,44,47,48,48,47,48,45.41975308641975,3.9185037379045577,3679.0,15.35467154397199,34,81,fancynancynyc
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,30,83,87,89,91,87,91,84.23456790123457,9.4376074663992,6823.0,89.06843468983394,58,81,LeahDoolittle
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,21,34,36,37,37,36,36,34.55555555555556,3.6141013260645733,2799.0,13.061728395061708,21,81,AntiRapeWarrior
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,32,84,88,90,92,88,92,85.35802469135803,9.165567128634969,6914.0,84.00762078951388,60,81,greenieonthego
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,33,85,89,91,93,89,93,86.35802469135803,9.165567128634969,6995.0,84.00762078951388,61,81,SharpSweetBella
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,34,86,90,92,94,90,94,87.35802469135803,9.165567128634969,7076.0,84.00762078951388,62,81,HegartyKatie
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,35,87,91,93,95,91,95,88.35802469135803,9.165567128634969,7157.0,84.00762078951388,63,81,quietrumors
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,36,114,119,123,125,119,125,116.28395061728395,12.724269187970366,9419.0,161.90702636793205,97,81,goddessjaz
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,37,119,124,128,130,124,130,121.11111111111111,13.294387565463127,9810.0,176.74074074074062,82,81,UnbrokenBarista
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,38,120,125,129,131,125,131,122.11111111111111,13.294387565463127,9891.0,176.74074074074062,83,81,namarose2013
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,39,121,126,130,132,126,132,123.11111111111111,13.294387565463127,9972.0,176.74074074074062,84,81,thetypeAhippie
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,34,52,56,57,57,56,57,53.592592592592595,5.100902311314614,4341.0,26.019204389574764,34,81,brazenqueer
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,41,75,79,81,83,79,83,76.61728395061728,7.937359546706513,6206.0,63.00167657369301,55,81,jenrobinegan
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,42,76,80,82,84,80,84,77.61728395061728,7.937359546706513,6287.0,63.00167657369301,56,81,CarrieMayLucas
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,22,27,29,29,43,29,29,28.432098765432098,2.504012935343755,2303.0,6.270080780368846,22,81,LynnBeisner
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,42,55,58,59,60,58,59,56.111111111111114,4.198765250598043,4545.0,17.629629629629644,42,81,constantnatalie
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,45,125,130,134,136,130,136,127.19753086419753,13.00846804266162,10303.0,169.22024081694866,89,81,MicheleMcKeon
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,46,81,85,87,89,85,89,82.5679012345679,8.070581039258148,6688.0,65.13427831123313,57,81,WashTimes
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,47,59,60,61,75,60,61,60.08641975308642,4.089122972961913,4867.0,16.720926688004877,47,81,sbadalich
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,48,112,117,121,123,117,123,114.34567901234568,11.818755228712796,9262.0,139.68297515622604,77,81,sarahnmoon
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,49,171,176,179,183,176,176,172.1851851851852,17.204012675134837,13947.0,295.97805212620017,136,81,WASHINGTONPOST
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,50,174,179,182,186,179,179,175.1604938271605,17.381313074695456,14188.0,302.1100442005792,139,81,FemArmRegime
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,51,119,121,126,158,121,126,120.8641975308642,11.628777720363527,9790.0,135.22847126962313,103,81,BestOfTheLeft
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,52,178,183,186,190,183,183,179.09876543209876,17.640165264946006,14507.0,311.1754305746076,142,81,RachLavon
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,53,182,187,190,194,187,187,183.0493827160494,17.942226374485468,14827.0,321.923487273282,146,81,MalindaFrevert
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,54,122,124,129,165,124,129,124.06172839506173,12.11604963430926,10049.0,146.79865874104553,106,81,rhrealitycheck
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,55,185,190,193,197,190,190,186.09876543209876,17.924812059397752,15074.0,321.2988873647311,150,81,dallasbthompson
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,50,74,78,80,82,78,82,75.81481481481481,7.214715947303425,6141.0,52.05212620027436,54,81,SocialWorkersRJ
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,57,188,194,197,201,194,194,189.7283950617284,18.258103119517585,15368.0,333.35832952293777,153,81,Salon
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,58,190,196,199,203,196,196,191.71604938271605,18.347963568436494,15529.0,336.64776710867284,155,81,zhaabowekwe
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,59,191,197,200,204,197,197,192.71604938271605,18.347963568436494,15610.0,336.64776710867284,156,81,emilycrockett
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,13,14,14,14,60,14,14,14.320987654320987,5.125167050559805,1160.0,26.267337296143882,60,81,RossalynWarren
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,61,193,199,202,206,199,199,194.71604938271605,18.347963568436494,15772.0,336.64776710867284,158,81,empathywarrior
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,62,194,200,203,207,200,200,195.71604938271605,18.347963568436494,15853.0,336.64776710867284,159,81,Shakestweetz
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,63,197,203,206,210,203,203,198.66666666666666,18.586467930283487,16092.0,345.45679012345647,161,81,lotlam
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,37,55,59,60,64,59,60,56.876543209876544,4.874683189577571,4607.0,23.762536198750155,37,81,aemccarthy
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,65,200,206,209,213,206,206,201.65432098765433,18.676690756805986,16334.0,348.81877762536215,164,81,anatosaurus
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,66,201,207,210,214,207,207,202.65432098765433,18.676690756805986,16415.0,348.81877762536215,165,81,ANGIEaker
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,67,202,208,211,215,208,208,203.65432098765433,18.676690756805986,16496.0,348.81877762536215,166,81,myriad
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,68,203,209,212,216,209,209,204.65432098765433,18.676690756805986,16577.0,348.81877762536215,167,81,SarahEvonne
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,69,437,452,457,472,452,457,439.4691358024691,49.87715437836035,35597.0,2487.730528882791,391,81,jesseberney
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,70,179,184,187,191,184,184,180.30864197530863,16.166297800533126,14605.0,261.34918457552214,143,81,mcbyrne
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,71,108,113,117,119,113,119,110.66666666666667,10.260796782769063,8964.0,105.28395061728396,71,81,kchamomile
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,72,438,453,458,473,453,458,440.4938271604938,49.69390837715711,35680.0,2469.4845297972856,392,81,Litzz11
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,73,439,454,459,474,454,459,441.4938271604938,49.69390837715711,35761.0,2469.4845297972856,393,81,Hunter64John
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,74,164,169,172,176,169,169,165.7530864197531,14.405529514650615,13426.0,207.51928059747,137,81,mirandaknightH
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,75,440,455,460,475,455,460,442.5061728395062,49.60240024478854,35843.0,2460.3981100441983,394,81,drschroe
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,76,441,456,461,476,456,461,443.5061728395062,49.60240024478854,35924.0,2460.3981100441983,395,81,JaradDewing
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,42,67,72,73,77,72,73,68.92592592592592,6.80554925673682,5583.0,46.315500685871086,47,81,sunflwer1975
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,73,109,114,118,120,114,120,111.74074074074075,9.992315291432806,9051.0,99.84636488340188,91,81,leahmcelrath
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,79,444,459,464,479,459,464,446.4691358024691,49.68097890224447,36164.0,2468.1996646852604,398,81,yourmomsbra_
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,80,449,464,469,484,464,469,451.41975308641975,50.046858091965234,36565.0,2504.688004877306,403,81,miagorla
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,81,184,189,192,196,189,189,185.4320987654321,15.581675112095208,15020.0,242.78859929888722,149,81,ah_kay_ora
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,82,459,474,479,494,474,479,461.320987654321,50.78223349293246,37367.0,2578.8352385307116,413,81,Lauren_Redding
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,74,110,115,119,121,115,121,112.79012345679013,9.834075363569436,9136.0,96.70903825636336,74,81,FoxNews
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,15,18,18,18,84,18,18,19.444444444444443,10.032047413596189,1575.0,100.64197530864197,75,81,AmyTheNewAgenda
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,85,460,475,480,495,475,480,462.34567901234567,50.59794571876115,37450.0,2560.1521109587,414,81,HollabackPhilly
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,76,111,116,120,122,116,122,113.82716049382717,9.712903627416283,9220.0,94.3404968754764,76,81,OldCrowNest
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,87,461,476,481,496,476,481,463.358024691358,50.505911802108415,37532.0,2550.8471269623537,415,81,lesliegildart
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,88,462,477,482,497,477,482,464.358024691358,50.505911802108415,37613.0,2550.8471269623537,416,81,alvtine
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,89,463,478,483,498,478,483,465.358024691358,50.505911802108415,37694.0,2550.8471269623537,417,81,lumiere022
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,90,464,479,484,499,479,484,466.358024691358,50.505911802108415,37775.0,2550.8471269623537,418,81,SophiaBush
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,91,465,480,485,500,480,485,467.358024691358,50.505911802108415,37856.0,2550.8471269623537,419,81,SarahEWatkins
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,92,466,481,486,501,481,486,468.358024691358,50.505911802108415,37937.0,2550.8471269623537,420,81,ChocoboLauren
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,93,469,484,489,504,484,489,471.08641975308643,50.961180464568585,38158.0,2597.0419143423264,421,81,vortex33
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,94,470,485,490,505,485,490,472.08641975308643,50.961180464568585,38239.0,2597.0419143423264,422,81,EeshaP
2014-06-10 00:00:00 +0000,2014-06-10 00:00:00 +0000,3.513418085106383,1.7448766352988403,true,true,30412800.0,30412800.0,95,471,486,491,506,486,491,473.08641975308643,50.961180464568585,38320.0,2597.0419143423264,423,81,LesFucks
