statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,survivorprivilege,%m-%d-%Y %H,6,0.816496580927726,2014-06-09 21:00:00 UTC,2014-06-09 21:00:00 UTC,1,2,0.6512208657047724,0.9933407325194229,1.302441731409545
indegree,survivorprivilege,%m-%d-%Y %H,26,0.5663850979747973,2014-06-09 22:00:00 UTC,2014-06-09 22:00:00 UTC,2,2,0.6512208657047724,0.9933407325194229,1.302441731409545
indegree,survivorprivilege,%m-%d-%Y %H,64,0.6704865301564588,2014-06-09 23:00:00 UTC,2014-06-09 23:00:00 UTC,3,3,0.6533481317055124,0.9933407325194229,1.9600443951165372
indegree,survivorprivilege,%m-%d-%Y %H,105,0.8057884927107326,2014-06-10 00:00:00 UTC,2014-06-10 00:00:00 UTC,4,4,0.6022475027746949,0.9933407325194229,2.4089900110987794
indegree,survivorprivilege,%m-%d-%Y %H,175,0.8216908535213047,2014-06-10 01:00:00 UTC,2014-06-10 01:00:00 UTC,5,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
indegree,survivorprivilege,%m-%d-%Y %H,226,0.8390842733908427,2014-06-10 02:00:00 UTC,2014-06-10 02:00:00 UTC,6,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
indegree,survivorprivilege,%m-%d-%Y %H,267,0.8179719956916449,2014-06-10 03:00:00 UTC,2014-06-10 03:00:00 UTC,7,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
indegree,survivorprivilege,%m-%d-%Y %H,301,0.9418144511212077,2014-06-10 04:00:00 UTC,2014-06-10 04:00:00 UTC,8,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
indegree,survivorprivilege,%m-%d-%Y %H,345,0.88,2014-06-10 05:00:00 UTC,2014-06-10 05:00:00 UTC,9,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
indegree,survivorprivilege,%m-%d-%Y %H,378,0.9444762449914138,2014-06-10 06:00:00 UTC,2014-06-10 06:00:00 UTC,10,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
indegree,survivorprivilege,%m-%d-%Y %H,408,0.9553615960099751,2014-06-10 07:00:00 UTC,2014-06-10 07:00:00 UTC,11,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
indegree,survivorprivilege,%m-%d-%Y %H,431,0.9421931566039939,2014-06-10 08:00:00 UTC,2014-06-10 08:00:00 UTC,12,5,0.5338512763596005,0.9933407325194229,2.6692563817980024
