statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,theemptychair,%m-%d-%Y,,1.0,2013-08-30 04:00:00 UTC,2013-08-30 04:00:00 UTC,1,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,,1.0,2013-09-25 04:00:00 UTC,2013-09-25 04:00:00 UTC,2,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,,,2013-09-26 04:00:00 UTC,2013-09-26 04:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y,,,2013-09-26 04:00:00 UTC,2013-09-26 04:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y,,,2013-09-26 04:00:00 UTC,2013-09-26 04:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y,,,2013-09-26 04:00:00 UTC,2013-09-26 04:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y,,,2013-09-26 04:00:00 UTC,2013-09-26 04:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y,,,2013-09-26 04:00:00 UTC,2013-09-26 04:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y,3,0.8164965809277261,2013-10-01 04:00:00 UTC,2013-10-01 04:00:00 UTC,4,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,3,1.0,2013-10-03 04:00:00 UTC,2013-10-03 04:00:00 UTC,5,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,3,1.0,2013-10-04 04:00:00 UTC,2013-10-04 04:00:00 UTC,6,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,3,1.0,2013-10-16 04:00:00 UTC,2013-10-16 04:00:00 UTC,7,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,3,1.0,2014-03-13 04:00:00 UTC,2014-03-13 04:00:00 UTC,8,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,4,0.9258200997725514,2014-03-15 04:00:00 UTC,2014-03-15 04:00:00 UTC,9,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,4,1.0,2014-04-06 04:00:00 UTC,2014-04-06 04:00:00 UTC,10,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,4,1.0,2014-04-27 04:00:00 UTC,2014-04-27 04:00:00 UTC,11,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,5,0.9607689228305227,2014-06-22 04:00:00 UTC,2014-06-22 04:00:00 UTC,12,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,5,1.0,2014-07-31 04:00:00 UTC,2014-07-31 04:00:00 UTC,13,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,5,1.0,2014-08-03 04:00:00 UTC,2014-08-03 04:00:00 UTC,14,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,5,1.0,2014-08-24 04:00:00 UTC,2014-08-24 04:00:00 UTC,15,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,6,0.9759000729485332,2014-09-03 04:00:00 UTC,2014-09-03 04:00:00 UTC,16,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,6,1.0,2014-09-06 04:00:00 UTC,2014-09-06 04:00:00 UTC,17,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,6,1.0,2014-09-19 04:00:00 UTC,2014-09-19 04:00:00 UTC,18,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,6,1.0,2014-09-21 04:00:00 UTC,2014-09-21 04:00:00 UTC,19,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,7,0.9682458365518541,2014-11-07 05:00:00 UTC,2014-11-07 05:00:00 UTC,20,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,7,1.0,2014-11-21 05:00:00 UTC,2014-11-21 05:00:00 UTC,21,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,8,0.9911892555667041,2015-01-12 05:00:00 UTC,2015-01-12 05:00:00 UTC,22,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,9,0.9863939238321437,2015-03-21 04:00:00 UTC,2015-03-21 04:00:00 UTC,23,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,9,1.0,2015-03-29 04:00:00 UTC,2015-03-29 04:00:00 UTC,24,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,9,1.0,2015-03-30 04:00:00 UTC,2015-03-30 04:00:00 UTC,25,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,9,1.0,2015-04-10 04:00:00 UTC,2015-04-10 04:00:00 UTC,26,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,9,1.0,2015-04-26 04:00:00 UTC,2015-04-26 04:00:00 UTC,27,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y,9,1.0,2015-06-21 04:00:00 UTC,2015-06-21 04:00:00 UTC,28,0,0.0,,0.0
