statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,theemptychair,%m-%d-%Y %H,,1.0,2013-08-31 02:00:00 UTC,2013-08-31 02:00:00 UTC,1,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,,1.0,2013-09-26 00:00:00 UTC,2013-09-26 00:00:00 UTC,2,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,,,2013-09-26 18:00:00 UTC,2013-09-26 18:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y %H,,,2013-09-26 18:00:00 UTC,2013-09-26 18:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y %H,,,2013-09-26 18:00:00 UTC,2013-09-26 18:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y %H,,,2013-09-26 18:00:00 UTC,2013-09-26 18:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y %H,,,2013-09-26 18:00:00 UTC,2013-09-26 18:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y %H,,,2013-09-26 18:00:00 UTC,2013-09-26 18:00:00 UTC,,,,,
indegree,theemptychair,%m-%d-%Y %H,3,0.8164965809277261,2013-10-01 22:00:00 UTC,2013-10-01 22:00:00 UTC,4,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,3,1.0,2013-10-03 19:00:00 UTC,2013-10-03 19:00:00 UTC,5,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,3,1.0,2013-10-04 06:00:00 UTC,2013-10-04 06:00:00 UTC,6,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,3,1.0,2013-10-16 23:00:00 UTC,2013-10-16 23:00:00 UTC,7,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,3,1.0,2014-03-13 20:00:00 UTC,2014-03-13 20:00:00 UTC,8,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,4,0.9258200997725514,2014-03-15 20:00:00 UTC,2014-03-15 20:00:00 UTC,9,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,4,1.0,2014-03-15 21:00:00 UTC,2014-03-15 21:00:00 UTC,10,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,4,1.0,2014-04-06 22:00:00 UTC,2014-04-06 22:00:00 UTC,11,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,4,1.0,2014-04-27 05:00:00 UTC,2014-04-27 05:00:00 UTC,12,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,5,0.9607689228305227,2014-06-22 20:00:00 UTC,2014-06-22 20:00:00 UTC,13,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,5,1.0,2014-07-31 23:00:00 UTC,2014-07-31 23:00:00 UTC,14,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,5,1.0,2014-08-03 22:00:00 UTC,2014-08-03 22:00:00 UTC,15,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,5,1.0,2014-08-25 00:00:00 UTC,2014-08-25 00:00:00 UTC,16,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,6,0.9759000729485332,2014-09-03 12:00:00 UTC,2014-09-03 12:00:00 UTC,17,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,6,1.0,2014-09-06 12:00:00 UTC,2014-09-06 12:00:00 UTC,18,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,6,1.0,2014-09-19 18:00:00 UTC,2014-09-19 18:00:00 UTC,19,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,6,1.0,2014-09-22 02:00:00 UTC,2014-09-22 02:00:00 UTC,20,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,7,0.9682458365518541,2014-11-08 03:00:00 UTC,2014-11-08 03:00:00 UTC,21,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,7,1.0,2014-11-21 08:00:00 UTC,2014-11-21 08:00:00 UTC,22,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,8,0.9911892555667041,2015-01-12 05:00:00 UTC,2015-01-12 05:00:00 UTC,23,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,9,0.9863939238321437,2015-03-21 22:00:00 UTC,2015-03-21 22:00:00 UTC,24,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,9,1.0,2015-03-29 12:00:00 UTC,2015-03-29 12:00:00 UTC,25,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,9,1.0,2015-03-30 13:00:00 UTC,2015-03-30 13:00:00 UTC,26,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,9,1.0,2015-04-10 05:00:00 UTC,2015-04-10 05:00:00 UTC,27,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,9,1.0,2015-04-26 04:00:00 UTC,2015-04-26 04:00:00 UTC,28,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,9,1.0,2015-06-21 08:00:00 UTC,2015-06-21 08:00:00 UTC,29,0,0.0,,0.0
indegree,theemptychair,%m-%d-%Y %H,10,0.995485304256668,2015-06-21 09:00:00 UTC,2015-06-21 09:00:00 UTC,30,0,0.0,,0.0
