statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,trayvonmartin,%m-%d-%Y,,1.0,2012-03-27 04:00:00 UTC,2012-03-27 04:00:00 UTC,1,44,0.7728786197154676,0.9988901220865705,34.00665926748057
indegree,trayvonmartin,%m-%d-%Y,4,0.9258200997725514,2012-03-30 04:00:00 UTC,2012-03-30 04:00:00 UTC,2,53,0.7600150775867484,0.9988901220865705,40.28079911209766
indegree,trayvonmartin,%m-%d-%Y,5,0.9607689228305227,2012-03-31 04:00:00 UTC,2012-03-31 04:00:00 UTC,3,54,0.7644386895219303,0.9988901220865705,41.27968923418423
indegree,trayvonmartin,%m-%d-%Y,6,0.9534625892455924,2012-04-11 04:00:00 UTC,2012-04-11 04:00:00 UTC,4,57,0.7742664096423078,0.9988901220865705,44.133185349611544
indegree,trayvonmartin,%m-%d-%Y,7,0.9883036912035246,2012-05-01 04:00:00 UTC,2012-05-01 04:00:00 UTC,5,60,0.7753792082870884,0.9988901220865705,46.522752497225305
indegree,trayvonmartin,%m-%d-%Y,7,1.0,2012-05-03 04:00:00 UTC,2012-05-03 04:00:00 UTC,6,61,0.7748312439729991,0.9988901220865705,47.26470588235294
indegree,trayvonmartin,%m-%d-%Y,8,0.9911892555667041,2012-06-08 04:00:00 UTC,2012-06-08 04:00:00 UTC,7,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-09 04:00:00 UTC,2012-06-09 04:00:00 UTC,8,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-10 04:00:00 UTC,2012-06-10 04:00:00 UTC,9,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-11 04:00:00 UTC,2012-06-11 04:00:00 UTC,10,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-12 04:00:00 UTC,2012-06-12 04:00:00 UTC,11,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-13 04:00:00 UTC,2012-06-13 04:00:00 UTC,12,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-14 04:00:00 UTC,2012-06-14 04:00:00 UTC,13,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-15 04:00:00 UTC,2012-06-15 04:00:00 UTC,14,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-16 04:00:00 UTC,2012-06-16 04:00:00 UTC,15,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-17 04:00:00 UTC,2012-06-17 04:00:00 UTC,16,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-18 04:00:00 UTC,2012-06-18 04:00:00 UTC,17,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-19 04:00:00 UTC,2012-06-19 04:00:00 UTC,18,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,8,1.0,2012-06-20 04:00:00 UTC,2012-06-20 04:00:00 UTC,19,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y,9,0.9999208954632312,2013-06-20 04:00:00 UTC,2013-06-20 04:00:00 UTC,20,67,0.784957012937532,0.9988901220865705,52.59211986681464
indegree,trayvonmartin,%m-%d-%Y,10,0.9999228484356373,2013-07-01 04:00:00 UTC,2013-07-01 04:00:00 UTC,21,69,0.7811369010278435,0.9988901220865705,53.898446170921204
indegree,trayvonmartin,%m-%d-%Y,11,0.9999247299686562,2013-07-09 04:00:00 UTC,2013-07-09 04:00:00 UTC,22,72,0.7770841040818843,0.9988901220865705,55.950055493895675
indegree,trayvonmartin,%m-%d-%Y,492,0.10371695371509984,2013-07-10 04:00:00 UTC,2013-07-10 04:00:00 UTC,23,72,0.7770841040818843,0.9988901220865705,55.950055493895675
indegree,trayvonmartin,%m-%d-%Y,1066,0.539844785159947,2013-07-11 04:00:00 UTC,2013-07-11 04:00:00 UTC,24,73,0.7691758016207259,0.9988901220865705,56.14983351831299
indegree,trayvonmartin,%m-%d-%Y,1943,0.6521400778210117,2013-07-12 04:00:00 UTC,2013-07-12 04:00:00 UTC,25,73,0.7691758016207259,0.9988901220865705,56.14983351831299
indegree,trayvonmartin,%m-%d-%Y,4341,0.633134684147795,2013-07-13 04:00:00 UTC,2013-07-13 04:00:00 UTC,26,73,0.7691758016207259,0.9988901220865705,56.14983351831299
indegree,trayvonmartin,%m-%d-%Y,5247,0.8461362597165066,2013-07-14 04:00:00 UTC,2013-07-14 04:00:00 UTC,27,74,0.7718001019887812,0.9988901220865705,57.113207547169814
indegree,trayvonmartin,%m-%d-%Y,20551,0.3460790667530784,2013-07-15 04:00:00 UTC,2013-07-15 04:00:00 UTC,28,92,0.7639458572600492,0.9988901220865705,70.28301886792453
indegree,trayvonmartin,%m-%d-%Y,25069,0.7930930930930931,2013-07-16 04:00:00 UTC,2013-07-16 04:00:00 UTC,29,97,0.7646772772520795,0.9988901220865705,74.17369589345171
indegree,trayvonmartin,%m-%d-%Y,28856,0.9067958689277063,2013-07-17 04:00:00 UTC,2013-07-17 04:00:00 UTC,30,98,0.7670672042401865,0.9988901220865705,75.17258601553827
indegree,trayvonmartin,%m-%d-%Y,30099,0.9173327724021876,2013-07-18 04:00:00 UTC,2013-07-18 04:00:00 UTC,31,98,0.7670672042401865,0.9988901220865705,75.17258601553827
indegree,trayvonmartin,%m-%d-%Y,30820,0.9438539989264627,2013-07-19 04:00:00 UTC,2013-07-19 04:00:00 UTC,32,98,0.7670672042401865,0.9988901220865705,75.17258601553827
indegree,trayvonmartin,%m-%d-%Y,31806,0.9358435002103492,2013-07-20 04:00:00 UTC,2013-07-20 04:00:00 UTC,33,102,0.7683075449935799,0.9988901220865705,78.36736958934515
indegree,trayvonmartin,%m-%d-%Y,32667,0.9717659688674182,2013-07-21 04:00:00 UTC,2013-07-21 04:00:00 UTC,34,116,0.7566927551762406,0.9988901220865705,87.77635960044391
indegree,trayvonmartin,%m-%d-%Y,33105,0.9801092445635371,2013-07-22 04:00:00 UTC,2013-07-22 04:00:00 UTC,35,117,0.7584260603128523,0.9988901220865705,88.73584905660373
indegree,trayvonmartin,%m-%d-%Y,33413,0.9935353535353535,2013-07-23 04:00:00 UTC,2013-07-23 04:00:00 UTC,36,117,0.7584260603128523,0.9988901220865705,88.73584905660373
