statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,whyistayed,%m-%d-%Y,4,0.9258200997725514,2013-09-30 04:00:00 UTC,2013-09-30 04:00:00 UTC,1,1,0.47613762486126526,0.47613762486126526,0.47613762486126526
indegree,whyistayed,%m-%d-%Y,4,1.0,2013-10-29 04:00:00 UTC,2013-10-29 04:00:00 UTC,2,1,0.47613762486126526,0.47613762486126526,0.47613762486126526
indegree,whyistayed,%m-%d-%Y,11,0.816496580927726,2013-10-30 04:00:00 UTC,2013-10-30 04:00:00 UTC,3,1,0.47613762486126526,0.47613762486126526,0.47613762486126526
indegree,whyistayed,%m-%d-%Y,12,0.9944903161976939,2013-10-31 04:00:00 UTC,2013-10-31 04:00:00 UTC,4,1,0.47613762486126526,0.47613762486126526,0.47613762486126526
indegree,whyistayed,%m-%d-%Y,13,0.7818181818181819,2013-11-01 04:00:00 UTC,2013-11-01 04:00:00 UTC,5,1,0.47613762486126526,0.47613762486126526,0.47613762486126526
indegree,whyistayed,%m-%d-%Y,13,1.0,2013-11-30 05:00:00 UTC,2013-11-30 05:00:00 UTC,6,1,0.47613762486126526,0.47613762486126526,0.47613762486126526
indegree,whyistayed,%m-%d-%Y,13,1.0,2013-12-17 05:00:00 UTC,2013-12-17 05:00:00 UTC,7,1,0.47613762486126526,0.47613762486126526,0.47613762486126526
indegree,whyistayed,%m-%d-%Y,13,1.0,2014-04-21 04:00:00 UTC,2014-04-21 04:00:00 UTC,8,2,0.439511653718091,0.47613762486126526,0.879023307436182
indegree,whyistayed,%m-%d-%Y,13,1.0,2014-06-05 04:00:00 UTC,2014-06-05 04:00:00 UTC,9,2,0.439511653718091,0.47613762486126526,0.879023307436182
indegree,whyistayed,%m-%d-%Y,14,0.995485304256668,2014-09-08 04:00:00 UTC,2014-09-08 04:00:00 UTC,10,4,0.6767480577136515,0.9611542730299667,2.706992230854606
indegree,whyistayed,%m-%d-%Y,745,0.0,2014-09-09 04:00:00 UTC,2014-09-09 04:00:00 UTC,11,5,0.7159822419533851,0.9611542730299667,3.5799112097669257
indegree,whyistayed,%m-%d-%Y,3854,0.43811219946571683,2014-09-10 04:00:00 UTC,2014-09-10 04:00:00 UTC,12,55,0.7386338411865605,0.9988901220865705,40.624861265260826
indegree,whyistayed,%m-%d-%Y,5719,0.7773503615940914,2014-09-11 04:00:00 UTC,2014-09-11 04:00:00 UTC,13,107,0.7258394100013481,0.9988901220865705,77.66481687014425
indegree,whyistayed,%m-%d-%Y,6224,0.9298125285779607,2014-09-12 04:00:00 UTC,2014-09-12 04:00:00 UTC,14,131,0.6985876591742844,0.9988901220865705,91.51498335183126
indegree,whyistayed,%m-%d-%Y,6462,0.9679012345679012,2014-09-13 04:00:00 UTC,2014-09-13 04:00:00 UTC,15,152,0.6851634149190956,0.9988901220865705,104.14483906770253
indegree,whyistayed,%m-%d-%Y,6578,0.9784602700195816,2014-09-14 04:00:00 UTC,2014-09-14 04:00:00 UTC,16,161,0.6723397613762485,0.9988901220865705,107.57436182019975
indegree,whyistayed,%m-%d-%Y,6654,0.9806060606060606,2014-09-15 04:00:00 UTC,2014-09-15 04:00:00 UTC,17,165,0.6691853225413498,0.9988901220865705,109.74639289678136
indegree,whyistayed,%m-%d-%Y,6714,0.9820719269994632,2014-09-16 04:00:00 UTC,2014-09-16 04:00:00 UTC,18,171,0.6614905007507996,0.9988901220865705,112.45338512763594
indegree,whyistayed,%m-%d-%Y,6773,0.9817582191074925,2014-09-17 04:00:00 UTC,2014-09-17 04:00:00 UTC,19,183,0.6547700357356294,0.9988901220865705,119.16814650388456
indegree,whyistayed,%m-%d-%Y,6888,0.9938623410784744,2014-09-18 04:00:00 UTC,2014-09-18 04:00:00 UTC,20,197,0.6543438129968967,0.9988901220865705,128.25138734739176
indegree,whyistayed,%m-%d-%Y,6979,0.9734836285560923,2014-09-19 04:00:00 UTC,2014-09-19 04:00:00 UTC,21,204,0.6520396056926346,0.9988901220865705,132.36403995560482
