statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,yesallwhitewomen,%m-%d-%Y,379,0.32519162496135656,2014-05-28 04:00:00 UTC,2014-05-28 04:00:00 UTC,1,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y,466,0.8802256138022562,2014-05-29 04:00:00 UTC,2014-05-29 04:00:00 UTC,2,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y,546,0.8388827905842176,2014-05-30 04:00:00 UTC,2014-05-30 04:00:00 UTC,3,2,0.22697003329633741,0.26137624861265263,0.45394006659267483
indegree,yesallwhitewomen,%m-%d-%Y,566,0.9800168279343711,2014-05-31 04:00:00 UTC,2014-05-31 04:00:00 UTC,4,3,0.19237883832778394,0.26137624861265263,0.5771365149833518
indegree,yesallwhitewomen,%m-%d-%Y,581,0.963188893563315,2014-06-01 04:00:00 UTC,2014-06-01 04:00:00 UTC,5,3,0.19237883832778394,0.26137624861265263,0.5771365149833518
indegree,yesallwhitewomen,%m-%d-%Y,592,0.9838031131678586,2014-06-02 04:00:00 UTC,2014-06-02 04:00:00 UTC,6,4,0.18895671476137624,0.26137624861265263,0.755826859045505
indegree,yesallwhitewomen,%m-%d-%Y,599,0.9955826672275978,2014-06-03 04:00:00 UTC,2014-06-03 04:00:00 UTC,7,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,609,0.9955555555555555,2014-06-04 04:00:00 UTC,2014-06-04 04:00:00 UTC,8,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,613,1.0,2014-06-05 04:00:00 UTC,2014-06-05 04:00:00 UTC,9,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,620,0.9997896508203618,2014-06-06 04:00:00 UTC,2014-06-06 04:00:00 UTC,10,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,621,0.9983838383838384,2014-06-07 04:00:00 UTC,2014-06-07 04:00:00 UTC,11,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,623,1.0,2014-06-08 04:00:00 UTC,2014-06-08 04:00:00 UTC,12,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,623,1.0,2014-06-10 04:00:00 UTC,2014-06-10 04:00:00 UTC,13,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,624,1.0,2014-06-11 04:00:00 UTC,2014-06-11 04:00:00 UTC,14,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,624,1.0,2014-06-13 04:00:00 UTC,2014-06-13 04:00:00 UTC,15,6,0.20273769885312617,0.4056603773584906,1.216426193118757
indegree,yesallwhitewomen,%m-%d-%Y,625,1.0,2014-06-14 04:00:00 UTC,2014-06-14 04:00:00 UTC,16,7,0.2701759949262724,0.6748057713651499,1.8912319644839068
indegree,yesallwhitewomen,%m-%d-%Y,626,1.0,2014-06-15 04:00:00 UTC,2014-06-15 04:00:00 UTC,17,7,0.2701759949262724,0.6748057713651499,1.8912319644839068
indegree,yesallwhitewomen,%m-%d-%Y,627,1.0,2014-06-16 04:00:00 UTC,2014-06-16 04:00:00 UTC,18,7,0.2701759949262724,0.6748057713651499,1.8912319644839068
indegree,yesallwhitewomen,%m-%d-%Y,629,0.9998969390910027,2014-06-17 04:00:00 UTC,2014-06-17 04:00:00 UTC,19,8,0.2772613762486127,0.6748057713651499,2.2180910099889015
indegree,yesallwhitewomen,%m-%d-%Y,630,0.9998969390910027,2014-06-22 04:00:00 UTC,2014-06-22 04:00:00 UTC,20,8,0.2772613762486127,0.6748057713651499,2.2180910099889015
indegree,yesallwhitewomen,%m-%d-%Y,630,1.0,2014-06-23 04:00:00 UTC,2014-06-23 04:00:00 UTC,21,8,0.2772613762486127,0.6748057713651499,2.2180910099889015
indegree,yesallwhitewomen,%m-%d-%Y,632,0.9997896508203618,2014-06-24 04:00:00 UTC,2014-06-24 04:00:00 UTC,22,8,0.2772613762486127,0.6748057713651499,2.2180910099889015
indegree,yesallwhitewomen,%m-%d-%Y,634,1.0,2014-06-25 04:00:00 UTC,2014-06-25 04:00:00 UTC,23,8,0.2772613762486127,0.6748057713651499,2.2180910099889015
indegree,yesallwhitewomen,%m-%d-%Y,636,1.0,2014-06-27 04:00:00 UTC,2014-06-27 04:00:00 UTC,24,8,0.2772613762486127,0.6748057713651499,2.2180910099889015
