statistic,hashtag,strftime_template,n,tau,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,yesallwhitewomen,%m-%d-%Y %H,6,0.8164965809277261,2014-05-26 14:00:00 UTC,2014-05-26 14:00:00 UTC,1,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,7,0.8660254037844387,2014-05-26 19:00:00 UTC,2014-05-26 19:00:00 UTC,2,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,9,0.8,2014-05-26 20:00:00 UTC,2014-05-26 20:00:00 UTC,3,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,10,0.8,2014-05-26 22:00:00 UTC,2014-05-26 22:00:00 UTC,4,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,12,1.0,2014-05-26 23:00:00 UTC,2014-05-26 23:00:00 UTC,5,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,14,0.9759000729485332,2014-05-27 00:00:00 UTC,2014-05-27 00:00:00 UTC,6,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,20,0.9258200997725515,2014-05-27 01:00:00 UTC,2014-05-27 01:00:00 UTC,7,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,28,0.9288975882826892,2014-05-27 02:00:00 UTC,2014-05-27 02:00:00 UTC,8,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,45,0.969386979365326,2014-05-27 03:00:00 UTC,2014-05-27 03:00:00 UTC,9,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,72,0.5803373206234664,2014-05-27 04:00:00 UTC,2014-05-27 04:00:00 UTC,10,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,103,0.8653952929240049,2014-05-27 05:00:00 UTC,2014-05-27 05:00:00 UTC,11,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,137,0.916704316635929,2014-05-27 06:00:00 UTC,2014-05-27 06:00:00 UTC,12,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,176,0.8557574419617918,2014-05-27 07:00:00 UTC,2014-05-27 07:00:00 UTC,13,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,204,0.9667432781895986,2014-05-27 08:00:00 UTC,2014-05-27 08:00:00 UTC,14,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,241,0.9351156925352784,2014-05-27 09:00:00 UTC,2014-05-27 09:00:00 UTC,15,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,268,0.9585425668574098,2014-05-27 10:00:00 UTC,2014-05-27 10:00:00 UTC,16,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,282,0.9513371328364753,2014-05-27 11:00:00 UTC,2014-05-27 11:00:00 UTC,17,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,294,0.9648953301127214,2014-05-27 12:00:00 UTC,2014-05-27 12:00:00 UTC,18,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,302,0.9722766154797485,2014-05-27 13:00:00 UTC,2014-05-27 13:00:00 UTC,19,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,304,0.9725252525252526,2014-05-27 14:00:00 UTC,2014-05-27 14:00:00 UTC,20,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,310,0.9945159485170677,2014-05-27 15:00:00 UTC,2014-05-27 15:00:00 UTC,21,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,317,0.9816425120772947,2014-05-27 16:00:00 UTC,2014-05-27 16:00:00 UTC,22,0,0.0,,0.0
indegree,yesallwhitewomen,%m-%d-%Y %H,323,0.9981068573832562,2014-05-27 17:00:00 UTC,2014-05-27 17:00:00 UTC,23,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,327,0.9993689524610854,2014-05-27 18:00:00 UTC,2014-05-27 18:00:00 UTC,24,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,332,0.9988191089640365,2014-05-27 19:00:00 UTC,2014-05-27 19:00:00 UTC,25,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,337,0.9871687000420698,2014-05-27 20:00:00 UTC,2014-05-27 20:00:00 UTC,26,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,342,0.9880100967606227,2014-05-27 21:00:00 UTC,2014-05-27 21:00:00 UTC,27,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,345,0.9850561681954035,2014-05-27 22:00:00 UTC,2014-05-27 22:00:00 UTC,28,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,349,0.9895908481912811,2014-05-27 23:00:00 UTC,2014-05-27 23:00:00 UTC,29,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,356,0.9789565979833407,2014-05-28 00:00:00 UTC,2014-05-28 00:00:00 UTC,30,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,361,0.9880837359098229,2014-05-28 01:00:00 UTC,2014-05-28 01:00:00 UTC,31,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,362,0.9998969390910027,2014-05-28 02:00:00 UTC,2014-05-28 02:00:00 UTC,32,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,369,0.9716220950601425,2014-05-28 03:00:00 UTC,2014-05-28 03:00:00 UTC,33,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,379,0.9895914941242305,2014-05-28 04:00:00 UTC,2014-05-28 04:00:00 UTC,34,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,382,0.9985275557425326,2014-05-28 05:00:00 UTC,2014-05-28 05:00:00 UTC,35,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,387,0.9957745027311141,2014-05-28 06:00:00 UTC,2014-05-28 06:00:00 UTC,36,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,392,0.9974234772750695,2014-05-28 07:00:00 UTC,2014-05-28 07:00:00 UTC,37,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,392,1.0,2014-05-28 08:00:00 UTC,2014-05-28 08:00:00 UTC,38,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,401,0.969893676552882,2014-05-28 09:00:00 UTC,2014-05-28 09:00:00 UTC,39,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,409,0.9995615957913196,2014-05-28 10:00:00 UTC,2014-05-28 10:00:00 UTC,40,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,414,0.9937132845511697,2014-05-28 11:00:00 UTC,2014-05-28 11:00:00 UTC,41,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,416,0.9850505050505051,2014-05-28 12:00:00 UTC,2014-05-28 12:00:00 UTC,42,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,418,0.9998969390910027,2014-05-28 13:00:00 UTC,2014-05-28 13:00:00 UTC,43,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,420,0.9904153354632588,2014-05-28 15:00:00 UTC,2014-05-28 15:00:00 UTC,44,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,423,0.9993689524610854,2014-05-28 16:00:00 UTC,2014-05-28 16:00:00 UTC,45,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,425,0.9998969390910027,2014-05-28 17:00:00 UTC,2014-05-28 17:00:00 UTC,46,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,428,1.0,2014-05-28 18:00:00 UTC,2014-05-28 18:00:00 UTC,47,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,429,0.997979797979798,2014-05-28 19:00:00 UTC,2014-05-28 19:00:00 UTC,48,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,433,0.9996779388083736,2014-05-28 20:00:00 UTC,2014-05-28 20:00:00 UTC,49,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,437,0.9875893984013462,2014-05-28 21:00:00 UTC,2014-05-28 21:00:00 UTC,50,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,442,0.9859366612989802,2014-05-28 22:00:00 UTC,2014-05-28 22:00:00 UTC,51,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,445,0.997979797979798,2014-05-28 23:00:00 UTC,2014-05-28 23:00:00 UTC,52,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,449,0.9976861590239798,2014-05-29 00:00:00 UTC,2014-05-29 00:00:00 UTC,53,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,452,0.9996779388083736,2014-05-29 01:00:00 UTC,2014-05-29 01:00:00 UTC,54,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,454,0.9997896508203618,2014-05-29 02:00:00 UTC,2014-05-29 02:00:00 UTC,55,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,461,0.9720235591081194,2014-05-29 03:00:00 UTC,2014-05-29 03:00:00 UTC,56,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,466,0.9978357209110584,2014-05-29 04:00:00 UTC,2014-05-29 04:00:00 UTC,57,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,474,0.984219001610306,2014-05-29 05:00:00 UTC,2014-05-29 05:00:00 UTC,58,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,481,0.9657541599570585,2014-05-29 06:00:00 UTC,2014-05-29 06:00:00 UTC,59,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,486,0.984219001610306,2014-05-29 07:00:00 UTC,2014-05-29 07:00:00 UTC,60,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,491,0.9940955448201825,2014-05-29 08:00:00 UTC,2014-05-29 08:00:00 UTC,61,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
indegree,yesallwhitewomen,%m-%d-%Y %H,498,0.9919981710105167,2014-05-29 09:00:00 UTC,2014-05-29 09:00:00 UTC,62,1,0.26137624861265263,0.26137624861265263,0.26137624861265263
