statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,yesallwomen,%m-%d-%Y,30265,0.17407407407407408,2014-05-26 04:00:00 UTC,2014-05-26 04:00:00 UTC,1,31,0.5440370914038165,0.9988901220865705,16.865149833518313
indegree,yesallwomen,%m-%d-%Y,60994,0.6059285091543156,2014-05-27 04:00:00 UTC,2014-05-27 04:00:00 UTC,2,97,0.615135530967882,0.9988901220865705,59.66814650388456
indegree,yesallwomen,%m-%d-%Y,77896,0.8801201529219006,2014-05-28 04:00:00 UTC,2014-05-28 04:00:00 UTC,3,200,0.6524361820199777,0.9988901220865705,130.48723640399552
indegree,yesallwomen,%m-%d-%Y,90209,0.88660516174238,2014-05-29 04:00:00 UTC,2014-05-29 04:00:00 UTC,4,258,0.6607451668688541,0.9988901220865705,170.47225305216435
indegree,yesallwomen,%m-%d-%Y,97625,0.9312158182583088,2014-05-30 04:00:00 UTC,2014-05-30 04:00:00 UTC,5,311,0.6373054591004639,0.9988901220865705,198.20199778024426
indegree,yesallwomen,%m-%d-%Y,101372,0.9648716870004207,2014-05-31 04:00:00 UTC,2014-05-31 04:00:00 UTC,6,334,0.6291146895997131,0.9988901220865705,210.12430632630418
indegree,yesallwomen,%m-%d-%Y,103597,0.9753891459823306,2014-06-01 04:00:00 UTC,2014-06-01 04:00:00 UTC,7,353,0.6298808689117853,0.9988901220865705,222.3479467258602
indegree,yesallwomen,%m-%d-%Y,105537,0.973925590023704,2014-06-02 04:00:00 UTC,2014-06-02 04:00:00 UTC,8,366,0.6299133324842466,0.9988901220865705,230.54827968923425
indegree,yesallwomen,%m-%d-%Y,107341,0.9846484165324745,2014-06-03 04:00:00 UTC,2014-06-03 04:00:00 UTC,9,383,0.6276808767745733,0.9988901220865705,240.40177580466158
indegree,yesallwomen,%m-%d-%Y,108940,0.977223539111615,2014-06-04 04:00:00 UTC,2014-06-04 04:00:00 UTC,10,388,0.6271224984839299,0.9988901220865705,243.3235294117648
indegree,yesallwomen,%m-%d-%Y,110433,0.9858585858585859,2014-06-05 04:00:00 UTC,2014-06-05 04:00:00 UTC,11,394,0.624902111021595,0.9988901220865705,246.21143174250844
indegree,yesallwomen,%m-%d-%Y,111382,0.9886868686868687,2014-06-06 04:00:00 UTC,2014-06-06 04:00:00 UTC,12,409,0.6233294166492545,0.9988901220865705,254.94173140954507
indegree,yesallwomen,%m-%d-%Y,112001,0.9951515151515151,2014-06-07 04:00:00 UTC,2014-06-07 04:00:00 UTC,13,416,0.6191011056091527,0.9988901220865705,257.5460599334075
indegree,yesallwomen,%m-%d-%Y,112460,0.9955555555555555,2014-06-08 04:00:00 UTC,2014-06-08 04:00:00 UTC,14,420,0.6219095185243914,0.9988901220865705,261.20199778024437
indegree,yesallwomen,%m-%d-%Y,112886,0.9961867463671029,2014-06-09 04:00:00 UTC,2014-06-09 04:00:00 UTC,15,422,0.6220563249890858,0.9988901220865705,262.5077691453942
indegree,yesallwomen,%m-%d-%Y,113475,0.9951515151515151,2014-06-10 04:00:00 UTC,2014-06-10 04:00:00 UTC,16,430,0.6242985829698273,0.9988901220865705,268.44839067702577
indegree,yesallwomen,%m-%d-%Y,114031,0.9957745027311141,2014-06-11 04:00:00 UTC,2014-06-11 04:00:00 UTC,17,443,0.6207286611565281,0.9988901220865705,274.982796892342
indegree,yesallwomen,%m-%d-%Y,114568,0.9986602081830361,2014-06-12 04:00:00 UTC,2014-06-12 04:00:00 UTC,18,446,0.6217991469368868,0.9988901220865705,277.3224195338515
indegree,yesallwomen,%m-%d-%Y,114909,0.9915151515151515,2014-06-13 04:00:00 UTC,2014-06-13 04:00:00 UTC,19,448,0.622240169652767,0.9988901220865705,278.7635960044396
indegree,yesallwomen,%m-%d-%Y,115280,0.9939393939393939,2014-06-14 04:00:00 UTC,2014-06-14 04:00:00 UTC,20,458,0.6218333341411052,0.9988901220865705,284.7996670366262
indegree,yesallwomen,%m-%d-%Y,115523,0.9975757575757576,2014-06-15 04:00:00 UTC,2014-06-15 04:00:00 UTC,21,461,0.6238801909664128,0.9988901220865705,287.6087680355163
indegree,yesallwomen,%m-%d-%Y,115827,0.9937132845511697,2014-06-16 04:00:00 UTC,2014-06-16 04:00:00 UTC,22,461,0.6238801909664128,0.9988901220865705,287.6087680355163
indegree,yesallwomen,%m-%d-%Y,116040,0.9983838383838384,2014-06-17 04:00:00 UTC,2014-06-17 04:00:00 UTC,23,466,0.624788623036874,0.9988901220865705,291.1514983351833
