statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,youoksis,%m-%d-%Y %H,10,0.9258200997725514,2014-06-08 04:00:00 UTC,2014-06-08 04:00:00 UTC,1,2,0.324361820199778,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,11,0.9607689228305227,2014-07-07 22:00:00 UTC,2014-07-07 22:00:00 UTC,2,2,0.324361820199778,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,14,0.8,2014-07-07 23:00:00 UTC,2014-07-07 23:00:00 UTC,3,2,0.324361820199778,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,17,0.7807200583588266,2014-07-08 00:00:00 UTC,2014-07-08 00:00:00 UTC,4,2,0.324361820199778,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,23,0.8391463916782737,2014-07-08 02:00:00 UTC,2014-07-08 02:00:00 UTC,5,3,0.21624121346651867,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,24,1.0,2014-07-08 03:00:00 UTC,2014-07-08 03:00:00 UTC,6,3,0.21624121346651867,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,26,0.9285714285714286,2014-07-08 04:00:00 UTC,2014-07-08 04:00:00 UTC,7,3,0.21624121346651867,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,31,0.9911892555667041,2014-07-08 06:00:00 UTC,2014-07-08 06:00:00 UTC,8,3,0.21624121346651867,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,36,0.7777777777777778,2014-07-08 07:00:00 UTC,2014-07-08 07:00:00 UTC,9,3,0.21624121346651867,0.40288568257491675,0.648723640399556
indegree,youoksis,%m-%d-%Y %H,41,0.8571946154145231,2014-07-08 08:00:00 UTC,2014-07-08 08:00:00 UTC,10,3,0.21624121346651867,0.40288568257491675,0.648723640399556
